job-core	Set up job	﻿2025-10-07T13:25:58.2359227Z Current runner version: '2.328.0'
job-core	Set up job	2025-10-07T13:25:58.2372954Z Runner name: 'c0321a985585'
job-core	Set up job	2025-10-07T13:25:58.2374224Z Runner group name: 'swarm-runners'
job-core	Set up job	2025-10-07T13:25:58.2375487Z Machine name: 'c0321a985585'
job-core	Set up job	2025-10-07T13:25:58.2382230Z ##[group]GITHUB_TOKEN Permissions
job-core	Set up job	2025-10-07T13:25:58.2385992Z Actions: write
job-core	Set up job	2025-10-07T13:25:58.2386852Z Contents: read
job-core	Set up job	2025-10-07T13:25:58.2461714Z Issues: write
job-core	Set up job	2025-10-07T13:25:58.2462946Z Metadata: read
job-core	Set up job	2025-10-07T13:25:58.2463611Z ##[endgroup]
job-core	Set up job	2025-10-07T13:25:58.2467027Z Secret source: Actions
job-core	Set up job	2025-10-07T13:25:58.2467846Z Prepare workflow directory
job-core	Set up job	2025-10-07T13:25:58.3329695Z Prepare all required actions
job-core	Set up job	2025-10-07T13:25:58.3381481Z Getting action download info
job-core	Set up job	2025-10-07T13:25:59.0623334Z Download action repository 'actions/checkout@v4' (SHA:08eba0b27e820071cde6df949e0beb9ba4906955)
job-core	Set up job	2025-10-07T13:25:59.9838999Z Download action repository 'docker/login-action@v3' (SHA:5e57cd118135c172c3672efd75eb46360885c0ef)
job-core	Set up job	2025-10-07T13:26:01.0474434Z Complete job name: job-core
job-core	Checkout code	﻿2025-10-07T13:26:01.1680280Z ##[group]Run actions/checkout@v4
job-core	Checkout code	2025-10-07T13:26:01.1683442Z with:
job-core	Checkout code	2025-10-07T13:26:01.1685158Z   fetch-depth: 0
job-core	Checkout code	2025-10-07T13:26:01.1687866Z   token: ***
job-core	Checkout code	2025-10-07T13:26:01.1689793Z   repository: Ka0s-Klaus/ka0s
job-core	Checkout code	2025-10-07T13:26:01.1692254Z   ssh-strict: true
job-core	Checkout code	2025-10-07T13:26:01.1696168Z   ssh-user: git
job-core	Checkout code	2025-10-07T13:26:01.1700313Z   persist-credentials: true
job-core	Checkout code	2025-10-07T13:26:01.1704602Z   clean: true
job-core	Checkout code	2025-10-07T13:26:01.1708598Z   sparse-checkout-cone-mode: true
job-core	Checkout code	2025-10-07T13:26:01.1713267Z   fetch-tags: false
job-core	Checkout code	2025-10-07T13:26:01.1715929Z   show-progress: true
job-core	Checkout code	2025-10-07T13:26:01.1718431Z   lfs: false
job-core	Checkout code	2025-10-07T13:26:01.1721171Z   submodules: false
job-core	Checkout code	2025-10-07T13:26:01.1725186Z   set-safe-directory: true
job-core	Checkout code	2025-10-07T13:26:01.1730369Z env:
job-core	Checkout code	2025-10-07T13:26:01.1738551Z   GITHUB_TOKEN: ***
job-core	Checkout code	2025-10-07T13:26:01.1743170Z   KAOS_MODULE: [Ka0s] Personalized Image Runners
job-core	Checkout code	2025-10-07T13:26:01.1748531Z   KAOS_CODE: 18314209402
job-core	Checkout code	2025-10-07T13:26:01.1750517Z   KAOS_PATH_SCAN: audit/scan/
job-core	Checkout code	2025-10-07T13:26:01.1751806Z ##[endgroup]
job-core	Checkout code	2025-10-07T13:26:01.3855205Z Syncing repository: Ka0s-Klaus/ka0s
job-core	Checkout code	2025-10-07T13:26:01.3860723Z ##[group]Getting Git version info
job-core	Checkout code	2025-10-07T13:26:01.3892337Z Working directory is '/home/runner/_work/ka0s/ka0s'
job-core	Checkout code	2025-10-07T13:26:01.3896733Z [command]/usr/bin/git version
job-core	Checkout code	2025-10-07T13:26:01.3899149Z git version 2.51.0
job-core	Checkout code	2025-10-07T13:26:01.3927509Z ##[endgroup]
job-core	Checkout code	2025-10-07T13:26:01.3952408Z Copying '/home/runner/.gitconfig' to '/home/runner/_work/_temp/719a345c-b758-4b98-a1fb-c7fb6478fae1/.gitconfig'
job-core	Checkout code	2025-10-07T13:26:01.3963970Z Temporarily overriding HOME='/home/runner/_work/_temp/719a345c-b758-4b98-a1fb-c7fb6478fae1' before making global git config changes
job-core	Checkout code	2025-10-07T13:26:01.3973164Z Adding repository directory to the temporary git global config as a safe directory
job-core	Checkout code	2025-10-07T13:26:01.3981657Z [command]/usr/bin/git config --global --add safe.directory /home/runner/_work/ka0s/ka0s
job-core	Checkout code	2025-10-07T13:26:01.4014405Z [command]/usr/bin/git config --local --get remote.origin.url
job-core	Checkout code	2025-10-07T13:26:01.4047076Z https://github.com/Ka0s-Klaus/ka0s
job-core	Checkout code	2025-10-07T13:26:01.4077592Z ##[group]Removing previously created refs, to avoid conflicts
job-core	Checkout code	2025-10-07T13:26:01.4090243Z [command]/usr/bin/git rev-parse --symbolic-full-name --verify --quiet HEAD
job-core	Checkout code	2025-10-07T13:26:01.4126087Z refs/heads/main
job-core	Checkout code	2025-10-07T13:26:01.4151099Z [command]/usr/bin/git checkout --detach
job-core	Checkout code	2025-10-07T13:26:01.4252572Z D	audit/inspector/18306134219.json
job-core	Checkout code	2025-10-07T13:26:01.4256027Z D	audit/inspector/18306134219.log
job-core	Checkout code	2025-10-07T13:26:01.4260007Z D	audit/inspector/18306134645.json
job-core	Checkout code	2025-10-07T13:26:01.4264841Z D	audit/inspector/18306134645.log
job-core	Checkout code	2025-10-07T13:26:01.4267193Z D	audit/inspector/18306134906.json
job-core	Checkout code	2025-10-07T13:26:01.4269907Z D	audit/inspector/18306134906.log
job-core	Checkout code	2025-10-07T13:26:01.4272588Z D	audit/inspector/18310227187.json
job-core	Checkout code	2025-10-07T13:26:01.4275154Z D	audit/inspector/18310227187.log
job-core	Checkout code	2025-10-07T13:26:01.4277713Z D	audit/inspector/18310229365.json
job-core	Checkout code	2025-10-07T13:26:01.4280281Z D	audit/inspector/18310229365.log
job-core	Checkout code	2025-10-07T13:26:01.4283425Z D	audit/inspector/18310229658.json
job-core	Checkout code	2025-10-07T13:26:01.4285819Z D	audit/inspector/18310229658.log
job-core	Checkout code	2025-10-07T13:26:01.4288254Z D	audit/inspector/18310784358.json
job-core	Checkout code	2025-10-07T13:26:01.4290883Z D	audit/inspector/18310784358.log
job-core	Checkout code	2025-10-07T13:26:01.4293456Z D	audit/inspector/18310784739.json
job-core	Checkout code	2025-10-07T13:26:01.4299133Z D	audit/inspector/18310784739.log
job-core	Checkout code	2025-10-07T13:26:01.4304203Z D	audit/inspector/18311722770.json
job-core	Checkout code	2025-10-07T13:26:01.4308765Z D	audit/inspector/18311722770.log
job-core	Checkout code	2025-10-07T13:26:01.4311518Z D	audit/inspector/18311722856.json
job-core	Checkout code	2025-10-07T13:26:01.4314123Z D	audit/inspector/18311722856.log
job-core	Checkout code	2025-10-07T13:26:01.4317263Z D	audit/inspector/18311722892.json
job-core	Checkout code	2025-10-07T13:26:01.4320703Z D	audit/inspector/18311722892.log
job-core	Checkout code	2025-10-07T13:26:01.4322117Z D	audit/inspector/18311723333.json
job-core	Checkout code	2025-10-07T13:26:01.4323487Z D	audit/inspector/18311723333.log
job-core	Checkout code	2025-10-07T13:26:01.4324851Z D	audit/inspector/18311723382.json
job-core	Checkout code	2025-10-07T13:26:01.4326298Z D	audit/inspector/18311723382.log
job-core	Checkout code	2025-10-07T13:26:01.4328074Z D	audit/inspector/18311723395.json
job-core	Checkout code	2025-10-07T13:26:01.4331334Z D	audit/inspector/18311723395.log
job-core	Checkout code	2025-10-07T13:26:01.4333921Z D	audit/inspector/18311725241.json
job-core	Checkout code	2025-10-07T13:26:01.4336353Z D	audit/inspector/18311725241.log
job-core	Checkout code	2025-10-07T13:26:01.4338621Z D	audit/inspector/18311725287.json
job-core	Checkout code	2025-10-07T13:26:01.4341157Z D	audit/inspector/18311725287.log
job-core	Checkout code	2025-10-07T13:26:01.4343477Z D	audit/inspector/18311727476.json
job-core	Checkout code	2025-10-07T13:26:01.4345903Z D	audit/inspector/18311727476.log
job-core	Checkout code	2025-10-07T13:26:01.4348407Z D	audit/inspector/18311727627.json
job-core	Checkout code	2025-10-07T13:26:01.4353631Z D	audit/inspector/18311727627.log
job-core	Checkout code	2025-10-07T13:26:01.4358999Z D	audit/inspector/18311729551.json
job-core	Checkout code	2025-10-07T13:26:01.4360979Z D	audit/inspector/18311729551.log
job-core	Checkout code	2025-10-07T13:26:01.4362374Z D	audit/inspector/18311729752.json
job-core	Checkout code	2025-10-07T13:26:01.4363765Z D	audit/inspector/18311729752.log
job-core	Checkout code	2025-10-07T13:26:01.4365712Z D	audit/inspector/18311731957.json
job-core	Checkout code	2025-10-07T13:26:01.4368243Z D	audit/inspector/18311731957.log
job-core	Checkout code	2025-10-07T13:26:01.4370856Z D	audit/inspector/18311734170.json
job-core	Checkout code	2025-10-07T13:26:01.4373180Z D	audit/inspector/18311734170.log
job-core	Checkout code	2025-10-07T13:26:01.4374838Z D	audit/inspector/18311735808.json
job-core	Checkout code	2025-10-07T13:26:01.4376237Z D	audit/inspector/18311735808.log
job-core	Checkout code	2025-10-07T13:26:01.4377600Z D	audit/inspector/18311736195.json
job-core	Checkout code	2025-10-07T13:26:01.4378984Z D	audit/inspector/18311736195.log
job-core	Checkout code	2025-10-07T13:26:01.4380509Z D	audit/inspector/18312075731.json
job-core	Checkout code	2025-10-07T13:26:01.4381897Z D	audit/inspector/18312075731.log
job-core	Checkout code	2025-10-07T13:26:01.4383264Z D	audit/inspector/18312075756.json
job-core	Checkout code	2025-10-07T13:26:01.4384644Z D	audit/inspector/18312075756.log
job-core	Checkout code	2025-10-07T13:26:01.4386040Z D	audit/inspector/18312075838.json
job-core	Checkout code	2025-10-07T13:26:01.4387458Z D	audit/inspector/18312075838.log
