=== Logs for Service: metabase (Namespace: metabase) ===
=== Date: Fri Mar 13 10:46:01 UTC 2026 ===
=== Selector: app=metabase,managed-by=ka0s-core-cd ===

[pod/metabase-7855b777d5-q879n/metabase] 2026-03-13 10:45:11,624 INFO analytics.prometheus :: Prometheus web-server shut down 
[pod/metabase-7855b777d5-q879n/metabase] 2026-03-13 10:45:11,741 INFO notification.send :: Shutting down notification dispatchers... {mb-dispatcher-count=2}
[pod/metabase-7855b777d5-q879n/metabase] 2026-03-13 10:45:11,933 INFO notification.send :: Starting notification thread pool with 3 threads {mb-dispatcher-count=2}
[pod/metabase-7855b777d5-q879n/metabase] 2026-03-13 10:45:12,056 INFO notification.send :: Gracefully shutting down notification dispatcher with 0 pending notifications to process {mb-dispatcher-count=2}
[pod/metabase-7855b777d5-q879n/metabase] 2026-03-13 10:45:13,057 INFO notification.send :: Notification worker shut down successfully {mb-dispatcher-count=2}
[pod/metabase-7855b777d5-q879n/metabase] 2026-03-13 10:45:13,057 INFO notification.send :: Starting notification thread pool with 5 threads {mb-dispatcher-count=2}
[pod/metabase-7855b777d5-q879n/metabase] 2026-03-13 10:45:13,060 INFO notification.send :: Gracefully shutting down notification dispatcher with 0 pending notifications to process {mb-dispatcher-count=2}
[pod/metabase-7855b777d5-q879n/metabase] 2026-03-13 10:45:14,060 INFO notification.send :: Notification worker shut down successfully {mb-dispatcher-count=2}
[pod/metabase-7855b777d5-q879n/metabase] 2026-03-13 10:45:14,060 INFO notification.send :: All notification workers shut down successfully {mb-dispatcher-count=2}
[pod/metabase-7855b777d5-q879n/metabase] 2026-03-13 10:45:14,061 INFO core.core :: Metabase Shutdown COMPLETE 
