=== Logs for Service: zabbix-agent (Namespace: zabbix) ===
=== Date: Fri Mar 13 11:36:28 UTC 2026 ===
=== Selector: app=zabbix-agent ===

[pod/zabbix-agent-ksjkb/zabbix-agent] 2026/03/13 11:26:43.401823 [MongoDB] Failed to create new connection: server selection error: server selection timeout, current topology: { Type: Single, Servers: [{ Addr: 172.16.209.10:27017, Type: Unknown, Last error: connection() error occured during connection handshake: dial tcp 172.16.209.10:27017: connect: invalid argument }, ] }.
[pod/zabbix-agent-ksjkb/zabbix-agent] 2026/03/13 11:27:43.403488 [MongoDB] Failed to create new connection: server selection error: server selection timeout, current topology: { Type: Single, Servers: [{ Addr: 172.16.209.10:27017, Type: Unknown, Last error: connection() error occured during connection handshake: dial tcp 172.16.209.10:27017: connect: invalid argument }, ] }.
[pod/zabbix-agent-ksjkb/zabbix-agent] 2026/03/13 11:28:43.402947 [MongoDB] Failed to create new connection: server selection error: server selection timeout, current topology: { Type: Single, Servers: [{ Addr: 172.16.209.10:27017, Type: Unknown, Last error: connection() error occured during connection handshake: dial tcp 172.16.209.10:27017: connect: connection refused }, ] }.
[pod/zabbix-agent-ksjkb/zabbix-agent] 2026/03/13 11:29:43.428741 [MongoDB] Failed to create new connection: server selection error: server selection timeout, current topology: { Type: Single, Servers: [{ Addr: 172.16.209.10:27017, Type: Unknown, Last error: connection() error occured during connection handshake: dial tcp 172.16.209.10:27017: connect: invalid argument }, ] }.
[pod/zabbix-agent-ksjkb/zabbix-agent] 2026/03/13 11:30:43.409995 [MongoDB] Failed to create new connection: server selection error: server selection timeout, current topology: { Type: Single, Servers: [{ Addr: 172.16.209.10:27017, Type: Unknown, Last error: connection() error occured during connection handshake: dial tcp 172.16.209.10:27017: connect: invalid argument }, ] }.
[pod/zabbix-agent-ksjkb/zabbix-agent] 2026/03/13 11:31:43.401819 [MongoDB] Failed to create new connection: server selection error: server selection timeout, current topology: { Type: Single, Servers: [{ Addr: 172.16.209.10:27017, Type: Unknown, Last error: connection() error occured during connection handshake: dial tcp 172.16.209.10:27017: connect: invalid argument }, ] }.
[pod/zabbix-agent-ksjkb/zabbix-agent] 2026/03/13 11:32:43.414849 [MongoDB] Failed to create new connection: server selection error: server selection timeout, current topology: { Type: Single, Servers: [{ Addr: 172.16.209.10:27017, Type: Unknown, Last error: connection() error occured during connection handshake: dial tcp 172.16.209.10:27017: connect: invalid argument }, ] }.
[pod/zabbix-agent-ksjkb/zabbix-agent] 2026/03/13 11:33:43.407081 [MongoDB] Failed to create new connection: server selection error: server selection timeout, current topology: { Type: Single, Servers: [{ Addr: 172.16.209.10:27017, Type: Unknown, Last error: connection() error occured during connection handshake: dial tcp 172.16.209.10:27017: connect: invalid argument }, ] }.
[pod/zabbix-agent-ksjkb/zabbix-agent] 2026/03/13 11:34:43.408220 [MongoDB] Failed to create new connection: server selection error: server selection timeout, current topology: { Type: Single, Servers: [{ Addr: 172.16.209.10:27017, Type: Unknown, Last error: connection() error occured during connection handshake: dial tcp 172.16.209.10:27017: connect: invalid argument }, ] }.
[pod/zabbix-agent-ksjkb/zabbix-agent] 2026/03/13 11:35:43.410512 [MongoDB] Failed to create new connection: server selection error: server selection timeout, current topology: { Type: Single, Servers: [{ Addr: 172.16.209.10:27017, Type: Unknown, Last error: connection() error occured during connection handshake: dial tcp 172.16.209.10:27017: connect: invalid argument }, ] }.
[pod/zabbix-agent-qz6g2/zabbix-agent] 2026/03/13 11:36:11.013078 [101] sending of heartbeat message to [zabbix-server:10051] is working again
