=== Logs for Service: nri-bundle-nr-ebpf-agent (Namespace: newrelic) ===
=== Date: Thu Mar 26 22:34:55 UTC 2026 ===
=== Selector: app.kubernetes.io/instance=nri-bundle,app.kubernetes.io/name=nr-ebpf-agent,component=agent ===

[pod/nr-ebpf-agent-kbwpg/nr-ebpf-agent] 2026-03-26 22:34:43.317967 3475378 carnot.cc:414 ERROR: PlanWalker failed: OTel export (carnot node_id=363) failed with error 'UNAVAILABLE'. Details: DNS resolution failed for otlp.eu01.nr-data.net:443: C-ares status is not ARES_SUCCESS qtype=A name=otlp.eu01.nr-data.net is_balancer=0: Timeout while contacting DNS servers 
[pod/nr-ebpf-agent-kbwpg/nr-ebpf-agent] 2026-03-26 22:34:43.318107 3475378 script_scheduler.cc:118 ERROR: Failed to execute script 'jvm-metrics': OTel export (carnot node_id=363) failed with error 'UNAVAILABLE'. Details: DNS resolution failed for otlp.eu01.nr-data.net:443: C-ares status is not ARES_SUCCESS qtype=A name=otlp.eu01.nr-data.net is_balancer=0: Timeout while contacting DNS servers 
[pod/nr-ebpf-agent-kbwpg/nr-ebpf-agent] 2026-03-26 22:34:43.318147 3475378 script_scheduler.cc:238 ERROR: Script execution cycle failed: All script executions failed
[pod/nr-ebpf-agent-kbwpg/nr-ebpf-agent] 2026-03-26 22:34:43.318174 3475378 script_scheduler.cc:251 INFO: Script execution cycle completed: 0 succeeded, 23 failed, took 0.03s; sleeping for 14.97s until next cycle
[pod/nr-ebpf-agent-kbwpg/nr-ebpf-agent] 2026-03-26 22:34:43.586959 3475379 run_core_stats.cc:88 INFO: |60000,0,60000,75034,60625,14409,1,8,795,0,0,0,0,0,0,0,0,885,0,1525,1266,2775,3459,6736,11342,31217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[pod/nr-ebpf-agent-kbwpg/nr-ebpf-agent] 2026-03-26 22:34:45.716651 3474338 otel_data_exporter.cc:371 WARNING: Failed to export logs (attempt 5/5) - Error code: 4, Message: Deadline Exceeded
[pod/nr-ebpf-agent-kbwpg/nr-ebpf-agent] 2026-03-26 22:34:45.716706 3474338 otel_data_exporter.cc:380 ERROR: Failed to export logs after 5 attempts. Dropping 1 log records.
[pod/nr-ebpf-agent-kbwpg/nr-ebpf-agent] 2026-03-26 22:34:54.647956 3475343 dns_lookup_service.cc:100 WARNING: DNS lookup failed for gov-otlp.nr-data.net: Temporary failure in name resolution
[pod/nr-ebpf-agent-kbwpg/nr-ebpf-agent] 2026-03-26 22:34:54.648046 3475343 dns_lookup_service.cc:183 WARNING: No IP addresses found for OTel hostname: gov-otlp.nr-data.net
[pod/nr-ebpf-agent-kbwpg/nr-ebpf-agent] 2026-03-26 22:34:55.717653 3474338 otel_data_exporter.cc:371 WARNING: Failed to export logs (attempt 1/5) - Error code: 4, Message: Deadline Exceeded
[pod/nr-ebpf-agent-kv6hz/nr-ebpf-agent] 2026-03-26 22:34:48.361393 3706647 carnot.cc:473 INFO: Executed script: postgresql-metrics, duration: 46.812ms, bytes processed: 0, records processed: 0
[pod/nr-ebpf-agent-kv6hz/nr-ebpf-agent] 2026-03-26 22:34:48.407672 3706647 carnot.cc:473 INFO: Executed script: redis-metrics, duration: 45.322ms, bytes processed: 0, records processed: 0
[pod/nr-ebpf-agent-kv6hz/nr-ebpf-agent] 2026-03-26 22:34:48.451303 3706647 carnot.cc:473 INFO: Executed script: mongodb-metrics, duration: 42.752ms, bytes processed: 0, records processed: 0
[pod/nr-ebpf-agent-kv6hz/nr-ebpf-agent] 2026-03-26 22:34:48.495231 3706647 carnot.cc:473 INFO: Executed script: cassandra-metrics, duration: 42.738ms, bytes processed: 0, records processed: 0
[pod/nr-ebpf-agent-kv6hz/nr-ebpf-agent] 2026-03-26 22:34:48.536651 3706647 carnot.cc:473 INFO: Executed script: mssql-metrics, duration: 40.439ms, bytes processed: 0, records processed: 0
[pod/nr-ebpf-agent-kv6hz/nr-ebpf-agent] 2026-03-26 22:34:48.580474 3706647 carnot.cc:473 INFO: Executed script: dynamodb-metrics, duration: 42.734ms, bytes processed: 0, records processed: 0
[pod/nr-ebpf-agent-kv6hz/nr-ebpf-agent] 2026-03-26 22:34:48.917259 3706647 carnot.cc:473 INFO: Executed script: thrift-metrics, duration: 335.368ms, bytes processed: 0, records processed: 0
[pod/nr-ebpf-agent-kv6hz/nr-ebpf-agent] 2026-03-26 22:34:49.062885 3706647 carnot.cc:473 INFO: Executed script: tcp-metrics, duration: 142.743ms, bytes processed: 535, records processed: 5
[pod/nr-ebpf-agent-kv6hz/nr-ebpf-agent] 2026-03-26 22:34:49.108511 3706647 carnot.cc:473 INFO: Executed script: jvm-metrics, duration: 43.805ms, bytes processed: 0, records processed: 0
[pod/nr-ebpf-agent-kv6hz/nr-ebpf-agent] 2026-03-26 22:34:49.109253 3706647 script_scheduler.cc:251 INFO: Script execution cycle completed: 23 succeeded, 0 failed, took 3.10s; sleeping for 11.90s until next cycle
[pod/nr-ebpf-agent-qmn8p/nr-ebpf-agent] 2026-03-26 22:34:49.507624 1829408 carnot.cc:473 INFO: Executed script: postgresql-metrics, duration: 41.328ms, bytes processed: 0, records processed: 0
[pod/nr-ebpf-agent-qmn8p/nr-ebpf-agent] 2026-03-26 22:34:49.629184 1829408 carnot.cc:473 INFO: Executed script: redis-metrics, duration: 120.603ms, bytes processed: 0, records processed: 0
[pod/nr-ebpf-agent-qmn8p/nr-ebpf-agent] 2026-03-26 22:34:49.669495 1829408 carnot.cc:473 INFO: Executed script: mongodb-metrics, duration: 39.423ms, bytes processed: 0, records processed: 0
[pod/nr-ebpf-agent-qmn8p/nr-ebpf-agent] 2026-03-26 22:34:49.708315 1829408 carnot.cc:473 INFO: Executed script: cassandra-metrics, duration: 38.198ms, bytes processed: 0, records processed: 0
[pod/nr-ebpf-agent-qmn8p/nr-ebpf-agent] 2026-03-26 22:34:49.814531 1829408 carnot.cc:473 INFO: Executed script: mssql-metrics, duration: 105.446ms, bytes processed: 0, records processed: 0
[pod/nr-ebpf-agent-qmn8p/nr-ebpf-agent] 2026-03-26 22:34:49.916453 1829408 carnot.cc:473 INFO: Executed script: dynamodb-metrics, duration: 100.636ms, bytes processed: 0, records processed: 0
[pod/nr-ebpf-agent-qmn8p/nr-ebpf-agent] 2026-03-26 22:34:50.145442 1829408 carnot.cc:473 INFO: Executed script: thrift-metrics, duration: 227.599ms, bytes processed: 0, records processed: 0
[pod/nr-ebpf-agent-qmn8p/nr-ebpf-agent] 2026-03-26 22:34:50.449970 1829408 carnot.cc:473 INFO: Executed script: tcp-metrics, duration: 301.863ms, bytes processed: 10601, records processed: 48
[pod/nr-ebpf-agent-qmn8p/nr-ebpf-agent] 2026-03-26 22:34:50.559769 1829408 carnot.cc:473 INFO: Executed script: jvm-metrics, duration: 109.226ms, bytes processed: 0, records processed: 0
[pod/nr-ebpf-agent-qmn8p/nr-ebpf-agent] 2026-03-26 22:34:50.560261 1829408 script_scheduler.cc:251 INFO: Script execution cycle completed: 23 succeeded, 0 failed, took 2.88s; sleeping for 12.12s until next cycle
