=== Logs for Service: nri-bundle-nr-ebpf-agent (Namespace: newrelic) ===
=== Date: Mon Mar 30 16:05:41 UTC 2026 ===
=== Selector: app.kubernetes.io/instance=nri-bundle,app.kubernetes.io/name=nr-ebpf-agent,component=agent ===

[pod/nr-ebpf-agent-kbwpg/nr-ebpf-agent]     @     0x55a7b1c1d89d  (unknown)  ring_buffer__poll
[pod/nr-ebpf-agent-kbwpg/nr-ebpf-agent]     @     0x55a7b193179d  (unknown)  px::stirling::bpf_tools::BCCWrapperImpl::PollRingBuffer()
[pod/nr-ebpf-agent-kbwpg/nr-ebpf-agent]     @     0x55a7b1931b9b  (unknown)  px::stirling::bpf_tools::BCCWrapperImpl::PollRingBuffers()
[pod/nr-ebpf-agent-kbwpg/nr-ebpf-agent]     @     0x55a7b17cf660  (unknown)  px::stirling::SocketTraceConnector::UpdateCommonState()
[pod/nr-ebpf-agent-kbwpg/nr-ebpf-agent]     @     0x55a7b17d2c64  (unknown)  px::stirling::SocketTraceConnector::TransferDataImpl()
[pod/nr-ebpf-agent-kbwpg/nr-ebpf-agent]     @     0x55a7b15786e7  (unknown)  px::stirling::StirlingImpl::RunCore()
[pod/nr-ebpf-agent-kbwpg/nr-ebpf-agent]     @     0x55a7b5fed933  (unknown)  execute_native_thread_routine
[pod/nr-ebpf-agent-kbwpg/nr-ebpf-agent]     @     0x7c76689a7aa4  (unknown)  (unknown)
[pod/nr-ebpf-agent-kbwpg/nr-ebpf-agent]     @     0x7c7668a34c6c  (unknown)  (unknown)
[pod/nr-ebpf-agent-kbwpg/nr-ebpf-agent] 
[pod/nr-ebpf-agent-kv6hz/nr-ebpf-agent] 2026-03-30 16:05:28.143014 3706647 carnot.cc:473 INFO: Executed script: dynamodb-metrics, duration: 67.997ms, bytes processed: 0, records processed: 0
[pod/nr-ebpf-agent-kv6hz/nr-ebpf-agent] 2026-03-30 16:05:28.476223 3706647 carnot.cc:473 INFO: Executed script: thrift-metrics, duration: 331.765ms, bytes processed: 0, records processed: 0
[pod/nr-ebpf-agent-kv6hz/nr-ebpf-agent] 2026-03-30 16:05:28.696383 3706647 carnot.cc:473 INFO: Executed script: tcp-metrics, duration: 218.001ms, bytes processed: 535, records processed: 5
[pod/nr-ebpf-agent-kv6hz/nr-ebpf-agent] 2026-03-30 16:05:28.773262 3706647 carnot.cc:473 INFO: Executed script: jvm-metrics, duration: 75.098ms, bytes processed: 0, records processed: 0
[pod/nr-ebpf-agent-kv6hz/nr-ebpf-agent] 2026-03-30 16:05:28.773799 3706647 script_scheduler.cc:251 INFO: Script execution cycle completed: 23 succeeded, 0 failed, took 3.43s; sleeping for 11.57s until next cycle
[pod/nr-ebpf-agent-kv6hz/nr-ebpf-agent] 2026-03-30 16:05:40.933470 3706647 carnot.cc:473 INFO: Executed script: http-spans, duration: 586.238ms, bytes processed: 0, records processed: 0
[pod/nr-ebpf-agent-kv6hz/nr-ebpf-agent] 2026-03-30 16:05:41.114560 3706647 carnot.cc:473 INFO: Executed script: kafka-spans, duration: 173.966ms, bytes processed: 0, records processed: 0
[pod/nr-ebpf-agent-kv6hz/nr-ebpf-agent] 2026-03-30 16:05:41.186460 3706647 carnot.cc:473 INFO: Executed script: mysql-spans, duration: 67.163ms, bytes processed: 0, records processed: 0
[pod/nr-ebpf-agent-kv6hz/nr-ebpf-agent] 2026-03-30 16:05:41.255614 3706647 carnot.cc:473 INFO: Executed script: redis-spans, duration: 67.631ms, bytes processed: 0, records processed: 0
[pod/nr-ebpf-agent-kv6hz/nr-ebpf-agent] 2026-03-30 16:05:41.322204 3706647 carnot.cc:473 INFO: Executed script: mongodb-spans, duration: 65.053ms, bytes processed: 0, records processed: 0
[pod/nr-ebpf-agent-qmn8p/nr-ebpf-agent] 2026-03-30 16:05:34.287983 38153 carnot.cc:473 INFO: Executed script: postgresql-metrics, duration: 69.742ms, bytes processed: 0, records processed: 0
