=== Logs for Service: nri-bundle-nr-ebpf-agent (Namespace: newrelic) ===
=== Date: Tue Mar 31 16:13:32 UTC 2026 ===
=== Selector: app.kubernetes.io/instance=nri-bundle,app.kubernetes.io/name=nr-ebpf-agent,component=agent ===

[pod/nr-ebpf-agent-kbwpg/nr-ebpf-agent] 2026-03-31 16:13:31.492008 1011140 carnot.cc:473 INFO: Executed script: mysql-spans, duration: 104.626ms, bytes processed: 1918, records processed: 12
[pod/nr-ebpf-agent-kbwpg/nr-ebpf-agent] 2026-03-31 16:13:31.530673 1011140 carnot.cc:473 INFO: Executed script: redis-spans, duration: 38.161ms, bytes processed: 0, records processed: 0
[pod/nr-ebpf-agent-kbwpg/nr-ebpf-agent] 2026-03-31 16:13:31.569586 1011140 carnot.cc:473 INFO: Executed script: mongodb-spans, duration: 38.324ms, bytes processed: 0, records processed: 0
[pod/nr-ebpf-agent-kbwpg/nr-ebpf-agent] 2026-03-31 16:13:31.648967 1011140 carnot.cc:473 INFO: Executed script: amqp-spans, duration: 78.924ms, bytes processed: 0, records processed: 0
[pod/nr-ebpf-agent-kbwpg/nr-ebpf-agent] 2026-03-31 16:13:31.687354 1011140 carnot.cc:473 INFO: Executed script: cassandra-spans, duration: 37.871ms, bytes processed: 0, records processed: 0
[pod/nr-ebpf-agent-kbwpg/nr-ebpf-agent] 2026-03-31 16:13:31.924077 1011140 carnot.cc:473 INFO: Executed script: dns-spans, duration: 236.133ms, bytes processed: 2119, records processed: 5
[pod/nr-ebpf-agent-kbwpg/nr-ebpf-agent] 2026-03-31 16:13:31.965330 1011140 carnot.cc:473 INFO: Executed script: postgresql-spans, duration: 40.71ms, bytes processed: 0, records processed: 0
[pod/nr-ebpf-agent-kbwpg/nr-ebpf-agent] 2026-03-31 16:13:32.008769 1011140 carnot.cc:473 INFO: Executed script: dynamodb-spans, duration: 40.864ms, bytes processed: 0, records processed: 0
[pod/nr-ebpf-agent-kbwpg/nr-ebpf-agent] 2026-03-31 16:13:32.049714 1011140 carnot.cc:473 INFO: Executed script: mssql-spans, duration: 40.643ms, bytes processed: 0, records processed: 0
[pod/nr-ebpf-agent-kbwpg/nr-ebpf-agent] 2026-03-31 16:13:32.340090 1011140 carnot.cc:473 INFO: Executed script: thrift-spans, duration: 289.957ms, bytes processed: 0, records processed: 0
[pod/nr-ebpf-agent-kv6hz/nr-ebpf-agent] 2026-03-31 16:13:31.522807 3706647 carnot.cc:473 INFO: Executed script: postgresql-metrics, duration: 63.83ms, bytes processed: 0, records processed: 0
