=== Logs for Service: nri-bundle-nr-ebpf-agent (Namespace: newrelic) ===
=== Date: Tue Mar 31 18:59:54 UTC 2026 ===
=== Selector: app.kubernetes.io/instance=nri-bundle,app.kubernetes.io/name=nr-ebpf-agent,component=agent ===

[pod/nr-ebpf-agent-qmn8p/nr-ebpf-agent] 2026-03-31 18:59:53.576745 2768015 carnot.cc:473 INFO: Executed script: kafka-spans, duration: 121.165ms, bytes processed: 0, records processed: 0
[pod/nr-ebpf-agent-qmn8p/nr-ebpf-agent] 2026-03-31 18:59:53.685473 2768015 carnot.cc:473 INFO: Executed script: mysql-spans, duration: 107.401ms, bytes processed: 0, records processed: 0
[pod/nr-ebpf-agent-qmn8p/nr-ebpf-agent] 2026-03-31 18:59:53.726285 2768015 carnot.cc:473 INFO: Executed script: redis-spans, duration: 40.306ms, bytes processed: 0, records processed: 0
[pod/nr-ebpf-agent-qmn8p/nr-ebpf-agent] 2026-03-31 18:59:53.767640 2768015 carnot.cc:473 INFO: Executed script: mongodb-spans, duration: 40.906ms, bytes processed: 0, records processed: 0
[pod/nr-ebpf-agent-qmn8p/nr-ebpf-agent] 2026-03-31 18:59:53.948611 2768015 carnot.cc:473 INFO: Executed script: amqp-spans, duration: 179.746ms, bytes processed: 0, records processed: 0
[pod/nr-ebpf-agent-qmn8p/nr-ebpf-agent] 2026-03-31 18:59:53.989594 2768015 carnot.cc:473 INFO: Executed script: cassandra-spans, duration: 39.751ms, bytes processed: 0, records processed: 0
[pod/nr-ebpf-agent-qmn8p/nr-ebpf-agent] 2026-03-31 18:59:54.195218 2768015 carnot.cc:473 INFO: Executed script: dns-spans, duration: 204.327ms, bytes processed: 0, records processed: 0
[pod/nr-ebpf-agent-qmn8p/nr-ebpf-agent] 2026-03-31 18:59:54.243187 2768015 carnot.cc:473 INFO: Executed script: postgresql-spans, duration: 43.434ms, bytes processed: 0, records processed: 0
[pod/nr-ebpf-agent-qmn8p/nr-ebpf-agent] 2026-03-31 18:59:54.371886 2768015 carnot.cc:473 INFO: Executed script: dynamodb-spans, duration: 127.487ms, bytes processed: 0, records processed: 0
[pod/nr-ebpf-agent-qmn8p/nr-ebpf-agent] 2026-03-31 18:59:54.415232 2768015 carnot.cc:473 INFO: Executed script: mssql-spans, duration: 41.672ms, bytes processed: 0, records processed: 0
[pod/nr-ebpf-agent-kbwpg/nr-ebpf-agent] 2026-03-31 18:59:48.414310 1011140 carnot.cc:473 INFO: Executed script: postgresql-metrics, duration: 41.611ms, bytes processed: 754, records processed: 4
[pod/nr-ebpf-agent-kbwpg/nr-ebpf-agent] 2026-03-31 18:59:48.537860 1011140 carnot.cc:473 INFO: Executed script: redis-metrics, duration: 123.123ms, bytes processed: 0, records processed: 0
[pod/nr-ebpf-agent-kbwpg/nr-ebpf-agent] 2026-03-31 18:59:48.577533 1011140 carnot.cc:473 INFO: Executed script: mongodb-metrics, duration: 39.376ms, bytes processed: 0, records processed: 0
[pod/nr-ebpf-agent-kbwpg/nr-ebpf-agent] 2026-03-31 18:59:48.617148 1011140 carnot.cc:473 INFO: Executed script: cassandra-metrics, duration: 39.273ms, bytes processed: 0, records processed: 0
[pod/nr-ebpf-agent-kbwpg/nr-ebpf-agent] 2026-03-31 18:59:48.729212 1011140 carnot.cc:473 INFO: Executed script: mssql-metrics, duration: 111.803ms, bytes processed: 0, records processed: 0
[pod/nr-ebpf-agent-kbwpg/nr-ebpf-agent] 2026-03-31 18:59:48.842881 1011140 carnot.cc:473 INFO: Executed script: dynamodb-metrics, duration: 109.739ms, bytes processed: 0, records processed: 0
[pod/nr-ebpf-agent-kbwpg/nr-ebpf-agent] 2026-03-31 18:59:49.092931 1011140 carnot.cc:473 INFO: Executed script: thrift-metrics, duration: 247.979ms, bytes processed: 0, records processed: 0
[pod/nr-ebpf-agent-kbwpg/nr-ebpf-agent] 2026-03-31 18:59:49.297868 1011140 carnot.cc:473 INFO: Executed script: tcp-metrics, duration: 204.258ms, bytes processed: 6292, records processed: 33
[pod/nr-ebpf-agent-kbwpg/nr-ebpf-agent] 2026-03-31 18:59:49.340870 1011140 carnot.cc:473 INFO: Executed script: jvm-metrics, duration: 42.534ms, bytes processed: 3450, records processed: 15
[pod/nr-ebpf-agent-kbwpg/nr-ebpf-agent] 2026-03-31 18:59:49.341058 1011140 script_scheduler.cc:251 INFO: Script execution cycle completed: 23 succeeded, 0 failed, took 2.84s; sleeping for 12.16s until next cycle
[pod/nr-ebpf-agent-kv6hz/nr-ebpf-agent] 2026-03-31 18:59:47.050087 3706647 carnot.cc:473 INFO: Executed script: postgresql-metrics, duration: 67.683ms, bytes processed: 0, records processed: 0
[pod/nr-ebpf-agent-kv6hz/nr-ebpf-agent] 2026-03-31 18:59:47.115054 3706647 carnot.cc:473 INFO: Executed script: redis-metrics, duration: 64.049ms, bytes processed: 0, records processed: 0
[pod/nr-ebpf-agent-kv6hz/nr-ebpf-agent] 2026-03-31 18:59:47.180009 3706647 carnot.cc:473 INFO: Executed script: mongodb-metrics, duration: 64.002ms, bytes processed: 0, records processed: 0
[pod/nr-ebpf-agent-kv6hz/nr-ebpf-agent] 2026-03-31 18:59:47.249536 3706647 carnot.cc:473 INFO: Executed script: cassandra-metrics, duration: 67.887ms, bytes processed: 0, records processed: 0
[pod/nr-ebpf-agent-kv6hz/nr-ebpf-agent] 2026-03-31 18:59:47.311376 3706647 carnot.cc:473 INFO: Executed script: mssql-metrics, duration: 60.939ms, bytes processed: 0, records processed: 0
[pod/nr-ebpf-agent-kv6hz/nr-ebpf-agent] 2026-03-31 18:59:47.369777 3706647 carnot.cc:473 INFO: Executed script: dynamodb-metrics, duration: 57.503ms, bytes processed: 0, records processed: 0
[pod/nr-ebpf-agent-kv6hz/nr-ebpf-agent] 2026-03-31 18:59:47.738113 3706647 carnot.cc:473 INFO: Executed script: thrift-metrics, duration: 367.249ms, bytes processed: 0, records processed: 0
[pod/nr-ebpf-agent-kv6hz/nr-ebpf-agent] 2026-03-31 18:59:48.017534 3706647 carnot.cc:473 INFO: Executed script: tcp-metrics, duration: 276.793ms, bytes processed: 4840, records processed: 21
[pod/nr-ebpf-agent-kv6hz/nr-ebpf-agent] 2026-03-31 18:59:48.081247 3706647 carnot.cc:473 INFO: Executed script: jvm-metrics, duration: 61.879ms, bytes processed: 0, records processed: 0
[pod/nr-ebpf-agent-kv6hz/nr-ebpf-agent] 2026-03-31 18:59:48.081781 3706647 script_scheduler.cc:251 INFO: Script execution cycle completed: 23 succeeded, 0 failed, took 3.34s; sleeping for 11.66s until next cycle
