=== Logs for Service: nri-bundle-nr-ebpf-agent (Namespace: newrelic) ===
=== Date: Tue Mar 31 23:39:28 UTC 2026 ===
=== Selector: app.kubernetes.io/instance=nri-bundle,app.kubernetes.io/name=nr-ebpf-agent,component=agent ===

[pod/nr-ebpf-agent-kbwpg/nr-ebpf-agent]     @     0x5ee13b5ea89d  (unknown)  ring_buffer__poll
[pod/nr-ebpf-agent-kbwpg/nr-ebpf-agent]     @     0x5ee13b2fe79d  (unknown)  px::stirling::bpf_tools::BCCWrapperImpl::PollRingBuffer()
[pod/nr-ebpf-agent-kbwpg/nr-ebpf-agent]     @     0x5ee13b2feb9b  (unknown)  px::stirling::bpf_tools::BCCWrapperImpl::PollRingBuffers()
[pod/nr-ebpf-agent-kbwpg/nr-ebpf-agent]     @     0x5ee13b19c660  (unknown)  px::stirling::SocketTraceConnector::UpdateCommonState()
[pod/nr-ebpf-agent-kbwpg/nr-ebpf-agent]     @     0x5ee13b19fc64  (unknown)  px::stirling::SocketTraceConnector::TransferDataImpl()
[pod/nr-ebpf-agent-kbwpg/nr-ebpf-agent]     @     0x5ee13af456e7  (unknown)  px::stirling::StirlingImpl::RunCore()
[pod/nr-ebpf-agent-kbwpg/nr-ebpf-agent]     @     0x5ee13f9ba933  (unknown)  execute_native_thread_routine
[pod/nr-ebpf-agent-kbwpg/nr-ebpf-agent]     @     0x7b12f97a1aa4  (unknown)  (unknown)
[pod/nr-ebpf-agent-kbwpg/nr-ebpf-agent]     @     0x7b12f982ec6c  (unknown)  (unknown)
[pod/nr-ebpf-agent-kbwpg/nr-ebpf-agent] 
[pod/nr-ebpf-agent-kv6hz/nr-ebpf-agent] 2026-03-31 23:39:17.311676 3706647 carnot.cc:473 INFO: Executed script: postgresql-metrics, duration: 65.071ms, bytes processed: 0, records processed: 0
[pod/nr-ebpf-agent-kv6hz/nr-ebpf-agent] 2026-03-31 23:39:17.382618 3706647 carnot.cc:473 INFO: Executed script: redis-metrics, duration: 69.977ms, bytes processed: 0, records processed: 0
[pod/nr-ebpf-agent-kv6hz/nr-ebpf-agent] 2026-03-31 23:39:17.453693 3706647 carnot.cc:473 INFO: Executed script: mongodb-metrics, duration: 70.177ms, bytes processed: 0, records processed: 0
[pod/nr-ebpf-agent-kv6hz/nr-ebpf-agent] 2026-03-31 23:39:17.523936 3706647 carnot.cc:473 INFO: Executed script: cassandra-metrics, duration: 69.147ms, bytes processed: 0, records processed: 0
[pod/nr-ebpf-agent-kv6hz/nr-ebpf-agent] 2026-03-31 23:39:17.596822 3706647 carnot.cc:473 INFO: Executed script: mssql-metrics, duration: 71.951ms, bytes processed: 0, records processed: 0
[pod/nr-ebpf-agent-kv6hz/nr-ebpf-agent] 2026-03-31 23:39:17.668218 3706647 carnot.cc:473 INFO: Executed script: dynamodb-metrics, duration: 70.538ms, bytes processed: 0, records processed: 0
[pod/nr-ebpf-agent-kv6hz/nr-ebpf-agent] 2026-03-31 23:39:17.963508 3706647 carnot.cc:473 INFO: Executed script: thrift-metrics, duration: 293.752ms, bytes processed: 0, records processed: 0
[pod/nr-ebpf-agent-kv6hz/nr-ebpf-agent] 2026-03-31 23:39:18.214747 3706647 carnot.cc:473 INFO: Executed script: tcp-metrics, duration: 248.711ms, bytes processed: 5390, records processed: 23
[pod/nr-ebpf-agent-kv6hz/nr-ebpf-agent] 2026-03-31 23:39:18.311174 3706647 carnot.cc:473 INFO: Executed script: jvm-metrics, duration: 94.134ms, bytes processed: 0, records processed: 0
[pod/nr-ebpf-agent-kv6hz/nr-ebpf-agent] 2026-03-31 23:39:18.311769 3706647 script_scheduler.cc:251 INFO: Script execution cycle completed: 23 succeeded, 0 failed, took 3.11s; sleeping for 11.89s until next cycle
[pod/nr-ebpf-agent-qmn8p/nr-ebpf-agent] 2026-03-31 23:39:27.317967 3491120 carnot.cc:473 INFO: Executed script: mssql-spans, duration: 57.797ms, bytes processed: 0, records processed: 0
