=== Logs for Service: nri-bundle-nr-ebpf-agent (Namespace: newrelic) ===
=== Date: Wed Apr  1 05:29:49 UTC 2026 ===
=== Selector: app.kubernetes.io/instance=nri-bundle,app.kubernetes.io/name=nr-ebpf-agent,component=agent ===

[pod/nr-ebpf-agent-qmn8p/nr-ebpf-agent] 2026-04-01 05:29:43.356298 3491120 carnot.cc:473 INFO: Executed script: postgresql-metrics, duration: 115.934ms, bytes processed: 0, records processed: 0
[pod/nr-ebpf-agent-qmn8p/nr-ebpf-agent] 2026-04-01 05:29:43.459323 3491120 carnot.cc:473 INFO: Executed script: redis-metrics, duration: 102.567ms, bytes processed: 0, records processed: 0
[pod/nr-ebpf-agent-qmn8p/nr-ebpf-agent] 2026-04-01 05:29:43.499720 3491120 carnot.cc:473 INFO: Executed script: mongodb-metrics, duration: 39.487ms, bytes processed: 0, records processed: 0
[pod/nr-ebpf-agent-qmn8p/nr-ebpf-agent] 2026-04-01 05:29:43.538373 3491120 carnot.cc:473 INFO: Executed script: cassandra-metrics, duration: 38.04ms, bytes processed: 0, records processed: 0
[pod/nr-ebpf-agent-qmn8p/nr-ebpf-agent] 2026-04-01 05:29:43.575711 3491120 carnot.cc:473 INFO: Executed script: mssql-metrics, duration: 36.765ms, bytes processed: 0, records processed: 0
[pod/nr-ebpf-agent-qmn8p/nr-ebpf-agent] 2026-04-01 05:29:43.681212 3491120 carnot.cc:473 INFO: Executed script: dynamodb-metrics, duration: 104.961ms, bytes processed: 0, records processed: 0
[pod/nr-ebpf-agent-qmn8p/nr-ebpf-agent] 2026-04-01 05:29:43.907133 3491120 carnot.cc:473 INFO: Executed script: thrift-metrics, duration: 224.938ms, bytes processed: 0, records processed: 0
[pod/nr-ebpf-agent-qmn8p/nr-ebpf-agent] 2026-04-01 05:29:44.053452 3491120 carnot.cc:473 INFO: Executed script: tcp-metrics, duration: 145.015ms, bytes processed: 3416, records processed: 18
[pod/nr-ebpf-agent-qmn8p/nr-ebpf-agent] 2026-04-01 05:29:44.091362 3491120 carnot.cc:473 INFO: Executed script: jvm-metrics, duration: 37.155ms, bytes processed: 0, records processed: 0
[pod/nr-ebpf-agent-qmn8p/nr-ebpf-agent] 2026-04-01 05:29:44.091751 3491120 script_scheduler.cc:251 INFO: Script execution cycle completed: 23 succeeded, 0 failed, took 2.45s; sleeping for 12.55s until next cycle
[pod/nr-ebpf-agent-kbwpg/nr-ebpf-agent] 2026-04-01 05:29:41.678767 2960429 carnot.cc:473 INFO: Executed script: postgresql-metrics, duration: 62.613ms, bytes processed: 630, records processed: 3
[pod/nr-ebpf-agent-kbwpg/nr-ebpf-agent] 2026-04-01 05:29:41.735386 2960429 carnot.cc:473 INFO: Executed script: redis-metrics, duration: 55.575ms, bytes processed: 0, records processed: 0
[pod/nr-ebpf-agent-kbwpg/nr-ebpf-agent] 2026-04-01 05:29:41.821614 2960429 carnot.cc:473 INFO: Executed script: mongodb-metrics, duration: 85.551ms, bytes processed: 0, records processed: 0
[pod/nr-ebpf-agent-kbwpg/nr-ebpf-agent] 2026-04-01 05:29:41.881520 2960429 carnot.cc:473 INFO: Executed script: cassandra-metrics, duration: 56.809ms, bytes processed: 0, records processed: 0
[pod/nr-ebpf-agent-kbwpg/nr-ebpf-agent] 2026-04-01 05:29:41.933759 2960429 carnot.cc:473 INFO: Executed script: mssql-metrics, duration: 51.341ms, bytes processed: 0, records processed: 0
[pod/nr-ebpf-agent-kbwpg/nr-ebpf-agent] 2026-04-01 05:29:41.993760 2960429 carnot.cc:473 INFO: Executed script: dynamodb-metrics, duration: 54.009ms, bytes processed: 0, records processed: 0
[pod/nr-ebpf-agent-kbwpg/nr-ebpf-agent] 2026-04-01 05:29:42.212282 2960429 carnot.cc:473 INFO: Executed script: thrift-metrics, duration: 215.621ms, bytes processed: 0, records processed: 0
[pod/nr-ebpf-agent-kbwpg/nr-ebpf-agent] 2026-04-01 05:29:42.399253 2960429 carnot.cc:473 INFO: Executed script: tcp-metrics, duration: 182.873ms, bytes processed: 17843, records processed: 76
[pod/nr-ebpf-agent-kbwpg/nr-ebpf-agent] 2026-04-01 05:29:42.468520 2960429 carnot.cc:473 INFO: Executed script: jvm-metrics, duration: 63.84ms, bytes processed: 3450, records processed: 15
[pod/nr-ebpf-agent-kbwpg/nr-ebpf-agent] 2026-04-01 05:29:42.468755 2960429 script_scheduler.cc:251 INFO: Script execution cycle completed: 22 succeeded, 1 failed, took 2.69s; sleeping for 12.31s until next cycle
[pod/nr-ebpf-agent-kv6hz/nr-ebpf-agent] 2026-04-01 05:29:47.744102 3706647 carnot.cc:473 INFO: Executed script: postgresql-metrics, duration: 53.291ms, bytes processed: 0, records processed: 0
[pod/nr-ebpf-agent-kv6hz/nr-ebpf-agent] 2026-04-01 05:29:47.802031 3706647 carnot.cc:473 INFO: Executed script: redis-metrics, duration: 56.896ms, bytes processed: 0, records processed: 0
[pod/nr-ebpf-agent-kv6hz/nr-ebpf-agent] 2026-04-01 05:29:47.857923 3706647 carnot.cc:473 INFO: Executed script: mongodb-metrics, duration: 54.946ms, bytes processed: 0, records processed: 0
[pod/nr-ebpf-agent-kv6hz/nr-ebpf-agent] 2026-04-01 05:29:47.912330 3706647 carnot.cc:473 INFO: Executed script: cassandra-metrics, duration: 53.281ms, bytes processed: 0, records processed: 0
[pod/nr-ebpf-agent-kv6hz/nr-ebpf-agent] 2026-04-01 05:29:47.965168 3706647 carnot.cc:473 INFO: Executed script: mssql-metrics, duration: 51.995ms, bytes processed: 0, records processed: 0
