=== Logs for Service: nri-bundle-nr-ebpf-agent (Namespace: newrelic) ===
=== Date: Wed Apr  1 07:18:18 UTC 2026 ===
=== Selector: app.kubernetes.io/instance=nri-bundle,app.kubernetes.io/name=nr-ebpf-agent,component=agent ===

[pod/nr-ebpf-agent-qmn8p/nr-ebpf-agent] 2026-04-01 07:18:13.863138 3491120 carnot.cc:473 INFO: Executed script: redis-metrics, duration: 58.897ms, bytes processed: 0, records processed: 0
[pod/nr-ebpf-agent-qmn8p/nr-ebpf-agent] 2026-04-01 07:18:13.927385 3491120 carnot.cc:473 INFO: Executed script: mongodb-metrics, duration: 63.024ms, bytes processed: 0, records processed: 0
[pod/nr-ebpf-agent-qmn8p/nr-ebpf-agent] 2026-04-01 07:18:13.985473 3491120 carnot.cc:473 INFO: Executed script: cassandra-metrics, duration: 57.31ms, bytes processed: 0, records processed: 0
[pod/nr-ebpf-agent-qmn8p/nr-ebpf-agent] 2026-04-01 07:18:14.046132 3491120 carnot.cc:473 INFO: Executed script: mssql-metrics, duration: 60.135ms, bytes processed: 0, records processed: 0
[pod/nr-ebpf-agent-qmn8p/nr-ebpf-agent] 2026-04-01 07:18:14.107005 3491120 carnot.cc:473 INFO: Executed script: dynamodb-metrics, duration: 60.315ms, bytes processed: 0, records processed: 0
[pod/nr-ebpf-agent-qmn8p/nr-ebpf-agent] 2026-04-01 07:18:14.448824 3491120 carnot.cc:473 INFO: Executed script: thrift-metrics, duration: 340.492ms, bytes processed: 0, records processed: 0
[pod/nr-ebpf-agent-qmn8p/nr-ebpf-agent] 2026-04-01 07:18:14.628293 3491120 carnot.cc:473 INFO: Executed script: tcp-metrics, duration: 176.888ms, bytes processed: 3965, records processed: 20
[pod/nr-ebpf-agent-qmn8p/nr-ebpf-agent] 2026-04-01 07:18:14.688789 3491120 carnot.cc:473 INFO: Executed script: jvm-metrics, duration: 60.003ms, bytes processed: 0, records processed: 0
[pod/nr-ebpf-agent-qmn8p/nr-ebpf-agent] 2026-04-01 07:18:14.689289 3491120 script_scheduler.cc:251 INFO: Script execution cycle completed: 23 succeeded, 0 failed, took 2.91s; sleeping for 12.09s until next cycle
[pod/nr-ebpf-agent-qmn8p/nr-ebpf-agent] 2026-04-01 07:18:14.923813 3491121 run_core_stats.cc:88 INFO: |446000,0,446000,647887,523935,123952,1,8,30101,0,0,0,0,0,0,0,0,8403,0,11795,8457,15378,16895,26771,31690,296510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[pod/nr-ebpf-agent-kbwpg/nr-ebpf-agent] 2026-04-01 07:18:12.127352 2960429 carnot.cc:473 INFO: Executed script: postgresql-metrics, duration: 68.07ms, bytes processed: 647, records processed: 4
[pod/nr-ebpf-agent-kbwpg/nr-ebpf-agent] 2026-04-01 07:18:12.193140 2960429 carnot.cc:473 INFO: Executed script: redis-metrics, duration: 64.854ms, bytes processed: 0, records processed: 0
[pod/nr-ebpf-agent-kbwpg/nr-ebpf-agent] 2026-04-01 07:18:12.252740 2960429 carnot.cc:473 INFO: Executed script: mongodb-metrics, duration: 58.114ms, bytes processed: 0, records processed: 0
[pod/nr-ebpf-agent-kbwpg/nr-ebpf-agent] 2026-04-01 07:18:12.323043 2960429 carnot.cc:473 INFO: Executed script: cassandra-metrics, duration: 69.775ms, bytes processed: 0, records processed: 0
[pod/nr-ebpf-agent-kbwpg/nr-ebpf-agent] 2026-04-01 07:18:12.382019 2960429 carnot.cc:473 INFO: Executed script: mssql-metrics, duration: 58.74ms, bytes processed: 0, records processed: 0
[pod/nr-ebpf-agent-kbwpg/nr-ebpf-agent] 2026-04-01 07:18:12.442757 2960429 carnot.cc:473 INFO: Executed script: dynamodb-metrics, duration: 60.152ms, bytes processed: 0, records processed: 0
[pod/nr-ebpf-agent-kbwpg/nr-ebpf-agent] 2026-04-01 07:18:12.670755 2960429 carnot.cc:473 INFO: Executed script: thrift-metrics, duration: 227.562ms, bytes processed: 0, records processed: 0
[pod/nr-ebpf-agent-kbwpg/nr-ebpf-agent] 2026-04-01 07:18:12.844554 2960429 carnot.cc:473 INFO: Executed script: tcp-metrics, duration: 173.238ms, bytes processed: 5727, records processed: 31
[pod/nr-ebpf-agent-kbwpg/nr-ebpf-agent] 2026-04-01 07:18:12.909377 2960429 carnot.cc:473 INFO: Executed script: jvm-metrics, duration: 64.321ms, bytes processed: 3450, records processed: 15
[pod/nr-ebpf-agent-kbwpg/nr-ebpf-agent] 2026-04-01 07:18:12.910712 2960429 script_scheduler.cc:251 INFO: Script execution cycle completed: 22 succeeded, 1 failed, took 2.81s; sleeping for 12.19s until next cycle
[pod/nr-ebpf-agent-kv6hz/nr-ebpf-agent] 2026-04-01 07:18:17.143730 3706647 carnot.cc:473 INFO: Executed script: mssql-spans, duration: 56.183ms, bytes processed: 0, records processed: 0
[pod/nr-ebpf-agent-kv6hz/nr-ebpf-agent] 2026-04-01 07:18:17.484305 3706647 carnot.cc:473 INFO: Executed script: thrift-spans, duration: 338.925ms, bytes processed: 0, records processed: 0
[pod/nr-ebpf-agent-kv6hz/nr-ebpf-agent] 2026-04-01 07:18:17.689867 3706647 carnot.cc:473 INFO: Executed script: http-metrics, duration: 203.314ms, bytes processed: 2058, records processed: 13
[pod/nr-ebpf-agent-kv6hz/nr-ebpf-agent] 2026-04-01 07:18:17.745607 3706647 carnot.cc:473 INFO: Executed script: mysql-metrics, duration: 53.92ms, bytes processed: 0, records processed: 0
[pod/nr-ebpf-agent-kv6hz/nr-ebpf-agent] 2026-04-01 07:18:17.807746 3706647 carnot.cc:473 INFO: Executed script: postgresql-metrics, duration: 60.883ms, bytes processed: 0, records processed: 0
[pod/nr-ebpf-agent-kv6hz/nr-ebpf-agent] 2026-04-01 07:18:17.872783 3706647 carnot.cc:473 INFO: Executed script: redis-metrics, duration: 64.088ms, bytes processed: 0, records processed: 0
[pod/nr-ebpf-agent-kv6hz/nr-ebpf-agent] 2026-04-01 07:18:17.931694 3706647 carnot.cc:473 INFO: Executed script: mongodb-metrics, duration: 57.974ms, bytes processed: 0, records processed: 0
[pod/nr-ebpf-agent-kv6hz/nr-ebpf-agent] 2026-04-01 07:18:17.986827 3706647 carnot.cc:473 INFO: Executed script: cassandra-metrics, duration: 53.935ms, bytes processed: 0, records processed: 0
[pod/nr-ebpf-agent-kv6hz/nr-ebpf-agent] 2026-04-01 07:18:18.050777 3706647 carnot.cc:473 INFO: Executed script: mssql-metrics, duration: 62.986ms, bytes processed: 0, records processed: 0
[pod/nr-ebpf-agent-kv6hz/nr-ebpf-agent] 2026-04-01 07:18:18.110698 3706647 carnot.cc:473 INFO: Executed script: dynamodb-metrics, duration: 59.001ms, bytes processed: 0, records processed: 0
