=== Logs for Service: nri-bundle-nr-ebpf-agent (Namespace: newrelic) ===
=== Date: Wed Apr  1 10:53:45 UTC 2026 ===
=== Selector: app.kubernetes.io/instance=nri-bundle,app.kubernetes.io/name=nr-ebpf-agent,component=agent ===

[pod/nr-ebpf-agent-kv6hz/nr-ebpf-agent] 2026-04-01 10:53:33.917217 3706647 carnot.cc:473 INFO: Executed script: postgresql-metrics, duration: 66.324ms, bytes processed: 0, records processed: 0
[pod/nr-ebpf-agent-kv6hz/nr-ebpf-agent] 2026-04-01 10:53:33.988646 3706647 carnot.cc:473 INFO: Executed script: redis-metrics, duration: 70.226ms, bytes processed: 0, records processed: 0
[pod/nr-ebpf-agent-kv6hz/nr-ebpf-agent] 2026-04-01 10:53:34.106669 3706647 carnot.cc:473 INFO: Executed script: mongodb-metrics, duration: 116.882ms, bytes processed: 0, records processed: 0
[pod/nr-ebpf-agent-kv6hz/nr-ebpf-agent] 2026-04-01 10:53:34.172310 3706647 carnot.cc:473 INFO: Executed script: cassandra-metrics, duration: 64.629ms, bytes processed: 0, records processed: 0
[pod/nr-ebpf-agent-kv6hz/nr-ebpf-agent] 2026-04-01 10:53:34.246620 3706647 carnot.cc:473 INFO: Executed script: mssql-metrics, duration: 73.42ms, bytes processed: 0, records processed: 0
[pod/nr-ebpf-agent-kv6hz/nr-ebpf-agent] 2026-04-01 10:53:34.318389 3706647 carnot.cc:473 INFO: Executed script: dynamodb-metrics, duration: 71.012ms, bytes processed: 0, records processed: 0
[pod/nr-ebpf-agent-kv6hz/nr-ebpf-agent] 2026-04-01 10:53:34.592934 3706647 carnot.cc:473 INFO: Executed script: thrift-metrics, duration: 272.986ms, bytes processed: 0, records processed: 0
[pod/nr-ebpf-agent-kv6hz/nr-ebpf-agent] 2026-04-01 10:53:34.786971 3706647 carnot.cc:473 INFO: Executed script: tcp-metrics, duration: 192.298ms, bytes processed: 3758, records processed: 17
[pod/nr-ebpf-agent-kv6hz/nr-ebpf-agent] 2026-04-01 10:53:34.860296 3706647 carnot.cc:473 INFO: Executed script: jvm-metrics, duration: 71.506ms, bytes processed: 0, records processed: 0
[pod/nr-ebpf-agent-kv6hz/nr-ebpf-agent] 2026-04-01 10:53:34.860877 3706647 script_scheduler.cc:251 INFO: Script execution cycle completed: 23 succeeded, 0 failed, took 3.57s; sleeping for 11.43s until next cycle
[pod/nr-ebpf-agent-qmn8p/nr-ebpf-agent] 2026-04-01 10:53:44.037708 3491120 carnot.cc:473 INFO: Executed script: postgresql-metrics, duration: 86.846ms, bytes processed: 0, records processed: 0
[pod/nr-ebpf-agent-qmn8p/nr-ebpf-agent] 2026-04-01 10:53:44.108379 3491120 carnot.cc:473 INFO: Executed script: redis-metrics, duration: 69.961ms, bytes processed: 0, records processed: 0
[pod/nr-ebpf-agent-qmn8p/nr-ebpf-agent] 2026-04-01 10:53:44.170120 3491120 carnot.cc:473 INFO: Executed script: mongodb-metrics, duration: 60.917ms, bytes processed: 0, records processed: 0
[pod/nr-ebpf-agent-qmn8p/nr-ebpf-agent] 2026-04-01 10:53:44.232390 3491120 carnot.cc:473 INFO: Executed script: cassandra-metrics, duration: 61.353ms, bytes processed: 0, records processed: 0
[pod/nr-ebpf-agent-qmn8p/nr-ebpf-agent] 2026-04-01 10:53:44.304555 3491120 carnot.cc:473 INFO: Executed script: mssql-metrics, duration: 71.479ms, bytes processed: 0, records processed: 0
[pod/nr-ebpf-agent-qmn8p/nr-ebpf-agent] 2026-04-01 10:53:44.364091 3491120 carnot.cc:473 INFO: Executed script: dynamodb-metrics, duration: 58.863ms, bytes processed: 0, records processed: 0
[pod/nr-ebpf-agent-qmn8p/nr-ebpf-agent] 2026-04-01 10:53:44.706889 3491120 carnot.cc:473 INFO: Executed script: thrift-metrics, duration: 341.537ms, bytes processed: 0, records processed: 0
[pod/nr-ebpf-agent-qmn8p/nr-ebpf-agent] 2026-04-01 10:53:44.963292 3491120 carnot.cc:473 INFO: Executed script: tcp-metrics, duration: 255.558ms, bytes processed: 3425, records processed: 18
[pod/nr-ebpf-agent-qmn8p/nr-ebpf-agent] 2026-04-01 10:53:45.029137 3491120 carnot.cc:473 INFO: Executed script: jvm-metrics, duration: 64.303ms, bytes processed: 0, records processed: 0
[pod/nr-ebpf-agent-qmn8p/nr-ebpf-agent] 2026-04-01 10:53:45.031620 3491120 script_scheduler.cc:251 INFO: Script execution cycle completed: 23 succeeded, 0 failed, took 2.97s; sleeping for 12.03s until next cycle
[pod/nr-ebpf-agent-kbwpg/nr-ebpf-agent] 2026-04-01 10:53:42.674909 2960429 carnot.cc:473 INFO: Executed script: postgresql-metrics, duration: 39.827ms, bytes processed: 0, records processed: 0
[pod/nr-ebpf-agent-kbwpg/nr-ebpf-agent] 2026-04-01 10:53:42.719795 2960429 carnot.cc:473 INFO: Executed script: redis-metrics, duration: 44.589ms, bytes processed: 0, records processed: 0
[pod/nr-ebpf-agent-kbwpg/nr-ebpf-agent] 2026-04-01 10:53:42.759795 2960429 carnot.cc:473 INFO: Executed script: mongodb-metrics, duration: 39.743ms, bytes processed: 0, records processed: 0
[pod/nr-ebpf-agent-kbwpg/nr-ebpf-agent] 2026-04-01 10:53:42.801159 2960429 carnot.cc:473 INFO: Executed script: cassandra-metrics, duration: 40.638ms, bytes processed: 0, records processed: 0
[pod/nr-ebpf-agent-kbwpg/nr-ebpf-agent] 2026-04-01 10:53:42.841110 2960429 carnot.cc:473 INFO: Executed script: mssql-metrics, duration: 39.351ms, bytes processed: 0, records processed: 0
