=== Logs for Service: ingress-nginx-controller (Namespace: ingress-nginx) ===
=== Date: Wed Apr  1 13:17:17 UTC 2026 ===
=== Selector: app.kubernetes.io/component=controller,app.kubernetes.io/instance=ingress-nginx,app.kubernetes.io/name=ingress-nginx ===

[pod/ingress-nginx-controller-5c78d86944-5ld5d/controller] W0401 13:04:03.198417       7 controller.go:1451] Unexpected error validating SSL certificate "itop/ka0s-wildcard-tls" for server "itsm.ka0s.io": x509: certificate relies on legacy Common Name field, use SANs instead
[pod/ingress-nginx-controller-5c78d86944-5ld5d/controller] W0401 13:04:03.198458       7 controller.go:1452] Validating certificate against DNS names. This will be deprecated in a future version
[pod/ingress-nginx-controller-5c78d86944-5ld5d/controller] W0401 13:04:03.198514       7 controller.go:1437] Error getting SSL certificate "metabase/metabase-tls": local SSL certificate metabase/metabase-tls was not found. Using default certificate
[pod/ingress-nginx-controller-5c78d86944-5ld5d/controller] W0401 13:04:03.198551       7 controller.go:1437] Error getting SSL certificate "docs-portal/docs-ka0s-tls": local SSL certificate docs-portal/docs-ka0s-tls was not found. Using default certificate
[pod/ingress-nginx-controller-5c78d86944-5ld5d/controller] W0401 13:04:06.523772       7 controller.go:1451] Unexpected error validating SSL certificate "kubernetes-dashboard/ka0s-wildcard-tls" for server "dashboard.ka0s.io": x509: certificate relies on legacy Common Name field, use SANs instead
[pod/ingress-nginx-controller-5c78d86944-5ld5d/controller] W0401 13:04:06.523943       7 controller.go:1452] Validating certificate against DNS names. This will be deprecated in a future version
[pod/ingress-nginx-controller-5c78d86944-5ld5d/controller] W0401 13:04:06.524028       7 controller.go:1451] Unexpected error validating SSL certificate "itop/ka0s-wildcard-tls" for server "itsm.ka0s.io": x509: certificate relies on legacy Common Name field, use SANs instead
[pod/ingress-nginx-controller-5c78d86944-5ld5d/controller] W0401 13:04:06.524081       7 controller.go:1452] Validating certificate against DNS names. This will be deprecated in a future version
[pod/ingress-nginx-controller-5c78d86944-5ld5d/controller] W0401 13:04:06.524158       7 controller.go:1437] Error getting SSL certificate "metabase/metabase-tls": local SSL certificate metabase/metabase-tls was not found. Using default certificate
[pod/ingress-nginx-controller-5c78d86944-5ld5d/controller] W0401 13:04:06.524363       7 controller.go:1437] Error getting SSL certificate "docs-portal/docs-ka0s-tls": local SSL certificate docs-portal/docs-ka0s-tls was not found. Using default certificate
