=== Logs for Service: nri-bundle-nr-ebpf-agent (Namespace: newrelic) ===
=== Date: Wed Apr  1 17:48:53 UTC 2026 ===
=== Selector: app.kubernetes.io/instance=nri-bundle,app.kubernetes.io/name=nr-ebpf-agent,component=agent ===

[pod/nr-ebpf-agent-kbwpg/nr-ebpf-agent] 2026-04-01 17:48:46.098425 2034940 carnot.cc:473 INFO: Executed script: postgresql-metrics, duration: 114.908ms, bytes processed: 0, records processed: 0
[pod/nr-ebpf-agent-kbwpg/nr-ebpf-agent] 2026-04-01 17:48:46.139879 2034940 carnot.cc:473 INFO: Executed script: redis-metrics, duration: 40.038ms, bytes processed: 0, records processed: 0
[pod/nr-ebpf-agent-kbwpg/nr-ebpf-agent] 2026-04-01 17:48:46.184820 2034940 carnot.cc:473 INFO: Executed script: mongodb-metrics, duration: 44.035ms, bytes processed: 0, records processed: 0
[pod/nr-ebpf-agent-kbwpg/nr-ebpf-agent] 2026-04-01 17:48:46.226214 2034940 carnot.cc:473 INFO: Executed script: cassandra-metrics, duration: 40.764ms, bytes processed: 0, records processed: 0
[pod/nr-ebpf-agent-kbwpg/nr-ebpf-agent] 2026-04-01 17:48:46.266839 2034940 carnot.cc:473 INFO: Executed script: mssql-metrics, duration: 40.152ms, bytes processed: 0, records processed: 0
[pod/nr-ebpf-agent-kbwpg/nr-ebpf-agent] 2026-04-01 17:48:46.305915 2034940 carnot.cc:473 INFO: Executed script: dynamodb-metrics, duration: 38.642ms, bytes processed: 0, records processed: 0
[pod/nr-ebpf-agent-kbwpg/nr-ebpf-agent] 2026-04-01 17:48:46.484850 2034940 carnot.cc:473 INFO: Executed script: thrift-metrics, duration: 178.363ms, bytes processed: 0, records processed: 0
[pod/nr-ebpf-agent-kbwpg/nr-ebpf-agent] 2026-04-01 17:48:46.631592 2034940 carnot.cc:473 INFO: Executed script: tcp-metrics, duration: 146.134ms, bytes processed: 5443, records processed: 30
[pod/nr-ebpf-agent-kbwpg/nr-ebpf-agent] 2026-04-01 17:48:46.672964 2034940 carnot.cc:473 INFO: Executed script: jvm-metrics, duration: 40.881ms, bytes processed: 3450, records processed: 15
[pod/nr-ebpf-agent-kbwpg/nr-ebpf-agent] 2026-04-01 17:48:46.673159 2034940 script_scheduler.cc:251 INFO: Script execution cycle completed: 23 succeeded, 0 failed, took 3.02s; sleeping for 11.98s until next cycle
[pod/nr-ebpf-agent-kv6hz/nr-ebpf-agent] 2026-04-01 17:48:49.601166 3706647 carnot.cc:473 INFO: Executed script: postgresql-metrics, duration: 66.485ms, bytes processed: 0, records processed: 0
[pod/nr-ebpf-agent-kv6hz/nr-ebpf-agent] 2026-04-01 17:48:49.663527 3706647 carnot.cc:473 INFO: Executed script: redis-metrics, duration: 61.687ms, bytes processed: 0, records processed: 0
