=== Logs for Service: postgresql (Namespace: postgresql) ===
=== Date: Wed Apr  1 20:56:36 UTC 2026 ===
=== Selector: app=postgresql,managed-by=ka0s-core-cd,role=primary ===

[pod/postgresql-0/postgresql] 2026-04-01 20:38:48.785 UTC [27] LOG:  checkpoint complete: wrote 2830 buffers (17.3%); 0 WAL file(s) added, 0 removed, 4 recycled; write=269.027 s, sync=6.235 s, total=280.120 s; sync files=148, longest=2.238 s, average=0.043 s; distance=66163 kB, estimate=93919 kB; lsn=32/D47C07C8, redo lsn=32/CF2C5F88
[pod/postgresql-0/postgresql] 2026-04-01 20:39:08.908 UTC [27] LOG:  checkpoint starting: time
[pod/postgresql-0/postgresql] 2026-04-01 20:43:41.108 UTC [27] LOG:  checkpoint complete: wrote 1104 buffers (6.7%); 0 WAL file(s) added, 0 removed, 5 recycled; write=268.599 s, sync=2.093 s, total=272.201 s; sync files=153, longest=0.533 s, average=0.014 s; distance=91279 kB, estimate=93655 kB; lsn=32/D9D3FE20, redo lsn=32/D4BE9D00
[pod/postgresql-0/postgresql] 2026-04-01 20:44:08.578 UTC [27] LOG:  checkpoint starting: time
[pod/postgresql-0/postgresql] 2026-04-01 20:48:57.560 UTC [27] LOG:  checkpoint complete: wrote 1310 buffers (8.0%); 0 WAL file(s) added, 0 removed, 6 recycled; write=264.524 s, sync=18.850 s, total=288.982 s; sync files=140, longest=9.687 s, average=0.135 s; distance=97527 kB, estimate=97527 kB; lsn=32/DF06C950, redo lsn=32/DAB27CA8
[pod/postgresql-0/postgresql] 2026-04-01 20:49:08.646 UTC [27] LOG:  checkpoint starting: time
[pod/postgresql-0/postgresql] 2026-04-01 20:53:40.141 UTC [27] LOG:  checkpoint complete: wrote 1121 buffers (6.8%); 0 WAL file(s) added, 0 removed, 5 recycled; write=267.210 s, sync=1.083 s, total=271.495 s; sync files=121, longest=0.322 s, average=0.009 s; distance=73262 kB, estimate=95101 kB; lsn=32/E3566030, redo lsn=32/DF2B3610
[pod/postgresql-0/postgresql] 2026-04-01 20:54:08.840 UTC [27] LOG:  checkpoint starting: time
[pod/postgresql-0/postgresql] 2026-04-01 20:54:38.951 UTC [234196] LOG:  could not send data to client: Broken pipe
[pod/postgresql-0/postgresql] 2026-04-01 20:54:38.951 UTC [234196] FATAL:  connection to client lost
[pod/postgresql-0/zabbix-agent] 2026/04/01 20:46:54.714570 connection from "172.16.209.38" rejected, allowed hosts: "zabbix-server.zabbix.svc.cluster.local"
[pod/postgresql-0/zabbix-agent] 2026/04/01 20:47:55.757668 connection from "172.16.209.38" rejected, allowed hosts: "zabbix-server.zabbix.svc.cluster.local"
[pod/postgresql-0/zabbix-agent] 2026/04/01 20:48:55.718318 connection from "172.16.209.38" rejected, allowed hosts: "zabbix-server.zabbix.svc.cluster.local"
[pod/postgresql-0/zabbix-agent] 2026/04/01 20:49:55.716510 connection from "172.16.209.38" rejected, allowed hosts: "zabbix-server.zabbix.svc.cluster.local"
[pod/postgresql-0/zabbix-agent] 2026/04/01 20:50:55.712918 connection from "172.16.209.38" rejected, allowed hosts: "zabbix-server.zabbix.svc.cluster.local"
[pod/postgresql-0/zabbix-agent] 2026/04/01 20:51:55.708722 connection from "172.16.209.38" rejected, allowed hosts: "zabbix-server.zabbix.svc.cluster.local"
[pod/postgresql-0/zabbix-agent] 2026/04/01 20:52:56.711379 connection from "172.16.209.38" rejected, allowed hosts: "zabbix-server.zabbix.svc.cluster.local"
[pod/postgresql-0/zabbix-agent] 2026/04/01 20:53:56.753165 connection from "172.16.209.38" rejected, allowed hosts: "zabbix-server.zabbix.svc.cluster.local"
[pod/postgresql-0/zabbix-agent] 2026/04/01 20:54:57.751634 connection from "172.16.209.38" rejected, allowed hosts: "zabbix-server.zabbix.svc.cluster.local"
[pod/postgresql-0/zabbix-agent] 2026/04/01 20:55:57.707584 connection from "172.16.209.38" rejected, allowed hosts: "zabbix-server.zabbix.svc.cluster.local"
