=== Logs for Service: nri-bundle-nr-ebpf-agent (Namespace: newrelic) ===
=== Date: Wed Apr  1 21:41:18 UTC 2026 ===
=== Selector: app.kubernetes.io/instance=nri-bundle,app.kubernetes.io/name=nr-ebpf-agent,component=agent ===

[pod/nr-ebpf-agent-kbwpg/nr-ebpf-agent] 2026-04-01 21:34:32.213461 603700 otel_data_exporter.cc:380 ERROR: Failed to export logs after 5 attempts. Dropping 1 log records.
[pod/nr-ebpf-agent-kbwpg/nr-ebpf-agent] 2026-04-01 21:34:32.213483 603700 otel_data_exporter.cc:371 WARNING: Failed to export logs (attempt 1/5) - Error code: 14, Message: DNS resolution failed for otlp.eu01.nr-data.net:443: C-ares status is not ARES_SUCCESS qtype=A name=otlp.eu01.nr-data.net is_balancer=0: Timeout while contacting DNS servers
[pod/nr-ebpf-agent-kbwpg/nr-ebpf-agent] 2026-04-01 21:34:32.213574 603700 otel_data_exporter.cc:371 WARNING: Failed to export logs (attempt 2/5) - Error code: 14, Message: DNS resolution failed for otlp.eu01.nr-data.net:443: C-ares status is not ARES_SUCCESS qtype=A name=otlp.eu01.nr-data.net is_balancer=0: Timeout while contacting DNS servers
[pod/nr-ebpf-agent-kbwpg/nr-ebpf-agent] 2026-04-01 21:34:32.213626 603700 otel_data_exporter.cc:371 WARNING: Failed to export logs (attempt 3/5) - Error code: 14, Message: DNS resolution failed for otlp.eu01.nr-data.net:443: C-ares status is not ARES_SUCCESS qtype=A name=otlp.eu01.nr-data.net is_balancer=0: Timeout while contacting DNS servers
[pod/nr-ebpf-agent-kbwpg/nr-ebpf-agent] 2026-04-01 21:34:32.213654 603700 otel_data_exporter.cc:371 WARNING: Failed to export logs (attempt 4/5) - Error code: 14, Message: DNS resolution failed for otlp.eu01.nr-data.net:443: C-ares status is not ARES_SUCCESS qtype=A name=otlp.eu01.nr-data.net is_balancer=0: Timeout while contacting DNS servers
[pod/nr-ebpf-agent-kbwpg/nr-ebpf-agent] 2026-04-01 21:34:32.213706 603700 otel_data_exporter.cc:371 WARNING: Failed to export logs (attempt 5/5) - Error code: 14, Message: DNS resolution failed for otlp.eu01.nr-data.net:443: C-ares status is not ARES_SUCCESS qtype=A name=otlp.eu01.nr-data.net is_balancer=0: Timeout while contacting DNS servers
[pod/nr-ebpf-agent-kbwpg/nr-ebpf-agent] 2026-04-01 21:34:32.213744 603700 otel_data_exporter.cc:380 ERROR: Failed to export logs after 5 attempts. Dropping 1 log records.
[pod/nr-ebpf-agent-kbwpg/nr-ebpf-agent] 2026-04-01 21:34:45.635746 609108 dns_lookup_service.cc:100 WARNING: DNS lookup failed for otlp.eu01.nr-data.net: Temporary failure in name resolution
[pod/nr-ebpf-agent-kbwpg/nr-ebpf-agent] 2026-04-01 21:34:45.636356 609108 dns_lookup_service.cc:183 WARNING: No IP addresses found for OTel hostname: otlp.eu01.nr-data.net
[pod/nr-ebpf-agent-kbwpg/nr-ebpf-agent] 2026-04-01 21:34:49.014333 610162 run_core_stats.cc:88 INFO: |102000,0,102000,121622,98056,23566,1,8,7961,0,0,0,0,0,0,0,0,2170,0,3285,2504,5129,5649,9291,14944,51067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[pod/nr-ebpf-agent-kv6hz/nr-ebpf-agent] 2026-04-01 21:41:17.891637 3706647 carnot.cc:473 INFO: Executed script: kafka-spans, duration: 123.12ms, bytes processed: 0, records processed: 0
[pod/nr-ebpf-agent-kv6hz/nr-ebpf-agent] 2026-04-01 21:41:17.964392 3706647 carnot.cc:473 INFO: Executed script: mysql-spans, duration: 67.952ms, bytes processed: 0, records processed: 0
[pod/nr-ebpf-agent-kv6hz/nr-ebpf-agent] 2026-04-01 21:41:18.033216 3706647 carnot.cc:473 INFO: Executed script: redis-spans, duration: 67.222ms, bytes processed: 0, records processed: 0
[pod/nr-ebpf-agent-kv6hz/nr-ebpf-agent] 2026-04-01 21:41:18.106104 3706647 carnot.cc:473 INFO: Executed script: mongodb-spans, duration: 71.418ms, bytes processed: 0, records processed: 0
[pod/nr-ebpf-agent-kv6hz/nr-ebpf-agent] 2026-04-01 21:41:18.278471 3706647 carnot.cc:473 INFO: Executed script: amqp-spans, duration: 170.817ms, bytes processed: 0, records processed: 0
[pod/nr-ebpf-agent-kv6hz/nr-ebpf-agent] 2026-04-01 21:41:18.350333 3706647 carnot.cc:473 INFO: Executed script: cassandra-spans, duration: 70.347ms, bytes processed: 0, records processed: 0
[pod/nr-ebpf-agent-kv6hz/nr-ebpf-agent] 2026-04-01 21:41:18.525836 3706647 carnot.cc:473 INFO: Executed script: dns-spans, duration: 173.951ms, bytes processed: 0, records processed: 0
[pod/nr-ebpf-agent-kv6hz/nr-ebpf-agent] 2026-04-01 21:41:18.598830 3706647 carnot.cc:473 INFO: Executed script: postgresql-spans, duration: 71.599ms, bytes processed: 0, records processed: 0
[pod/nr-ebpf-agent-kv6hz/nr-ebpf-agent] 2026-04-01 21:41:18.668220 3706647 carnot.cc:473 INFO: Executed script: dynamodb-spans, duration: 68.331ms, bytes processed: 0, records processed: 0
[pod/nr-ebpf-agent-kv6hz/nr-ebpf-agent] 2026-04-01 21:41:18.758134 3706647 carnot.cc:473 INFO: Executed script: mssql-spans, duration: 89.023ms, bytes processed: 0, records processed: 0
[pod/nr-ebpf-agent-qmn8p/nr-ebpf-agent] 2026-04-01 21:41:15.310806 3491120 carnot.cc:473 INFO: Executed script: postgresql-metrics, duration: 71.321ms, bytes processed: 0, records processed: 0
[pod/nr-ebpf-agent-qmn8p/nr-ebpf-agent] 2026-04-01 21:41:15.376219 3491120 carnot.cc:473 INFO: Executed script: redis-metrics, duration: 64.464ms, bytes processed: 0, records processed: 0
[pod/nr-ebpf-agent-qmn8p/nr-ebpf-agent] 2026-04-01 21:41:15.445869 3491120 carnot.cc:473 INFO: Executed script: mongodb-metrics, duration: 68.728ms, bytes processed: 0, records processed: 0
[pod/nr-ebpf-agent-qmn8p/nr-ebpf-agent] 2026-04-01 21:41:15.519377 3491120 carnot.cc:473 INFO: Executed script: cassandra-metrics, duration: 72.412ms, bytes processed: 0, records processed: 0
[pod/nr-ebpf-agent-qmn8p/nr-ebpf-agent] 2026-04-01 21:41:15.583138 3491120 carnot.cc:473 INFO: Executed script: mssql-metrics, duration: 62.955ms, bytes processed: 0, records processed: 0
[pod/nr-ebpf-agent-qmn8p/nr-ebpf-agent] 2026-04-01 21:41:15.659920 3491120 carnot.cc:473 INFO: Executed script: dynamodb-metrics, duration: 75.733ms, bytes processed: 0, records processed: 0
[pod/nr-ebpf-agent-qmn8p/nr-ebpf-agent] 2026-04-01 21:41:15.996253 3491120 carnot.cc:473 INFO: Executed script: thrift-metrics, duration: 335.778ms, bytes processed: 0, records processed: 0
