=== Logs for Service: metrics-server (Namespace: kube-system) ===
=== Date: Thu Apr  2 07:33:16 UTC 2026 ===
=== Selector: k8s-app=metrics-server ===

[pod/metrics-server-8f4f477fc-246x9/metrics-server] E0402 07:28:31.033606       1 scraper.go:149] "Failed to scrape node" err="Get \"https://192.168.1.30:10250/metrics/resource\": dial tcp 192.168.1.30:10250: connect: no route to host" node="k8-node-30"
[pod/metrics-server-8f4f477fc-246x9/metrics-server] E0402 07:28:31.033708       1 scraper.go:149] "Failed to scrape node" err="Get \"https://192.168.1.20:10250/metrics/resource\": dial tcp 192.168.1.20:10250: connect: no route to host" node="k8-node-20"
[pod/metrics-server-8f4f477fc-246x9/metrics-server] E0402 07:28:46.009001       1 scraper.go:149] "Failed to scrape node" err="Get \"https://192.168.1.20:10250/metrics/resource\": dial tcp 192.168.1.20:10250: connect: no route to host" node="k8-node-20"
[pod/metrics-server-8f4f477fc-246x9/metrics-server] E0402 07:28:46.009001       1 scraper.go:149] "Failed to scrape node" err="Get \"https://192.168.1.30:10250/metrics/resource\": dial tcp 192.168.1.30:10250: connect: no route to host" node="k8-node-30"
[pod/metrics-server-8f4f477fc-246x9/metrics-server] E0402 07:29:00.984809       1 scraper.go:149] "Failed to scrape node" err="Get \"https://192.168.1.20:10250/metrics/resource\": dial tcp 192.168.1.20:10250: connect: no route to host" node="k8-node-20"
[pod/metrics-server-8f4f477fc-246x9/metrics-server] E0402 07:29:01.048818       1 scraper.go:149] "Failed to scrape node" err="Get \"https://192.168.1.30:10250/metrics/resource\": dial tcp 192.168.1.30:10250: connect: no route to host" node="k8-node-30"
[pod/metrics-server-8f4f477fc-246x9/metrics-server] E0402 07:29:12.949822       1 scraper.go:149] "Failed to scrape node" err="Get \"https://192.168.1.30:10250/metrics/resource\": dial tcp 192.168.1.30:10250: connect: connection refused" node="k8-node-30"
[pod/metrics-server-8f4f477fc-246x9/metrics-server] E0402 07:29:16.029349       1 scraper.go:149] "Failed to scrape node" err="Get \"https://192.168.1.20:10250/metrics/resource\": dial tcp 192.168.1.20:10250: connect: no route to host" node="k8-node-20"
[pod/metrics-server-8f4f477fc-246x9/metrics-server] E0402 07:29:27.942127       1 scraper.go:149] "Failed to scrape node" err="Get \"https://192.168.1.30:10250/metrics/resource\": dial tcp 192.168.1.30:10250: connect: connection refused" node="k8-node-30"
[pod/metrics-server-8f4f477fc-246x9/metrics-server] E0402 07:29:42.953757       1 scraper.go:149] "Failed to scrape node" err="Get \"https://192.168.1.30:10250/metrics/resource\": dial tcp 192.168.1.30:10250: connect: connection refused" node="k8-node-30"
