=== Logs for Service: zabbix-server (Namespace: zabbix) ===
=== Date: Thu Apr  2 10:00:55 UTC 2026 ===
=== Selector: app=zabbix-server ===

[pod/zabbix-server-65c5d5b99b-6nlpw/zabbix-server]    202:20260402:095802.815 item "zabbix-server:k8s_pod_metrics.sh["actions-runner-system","swarm-runners-scaleset-97tpt-runner-524bq","oom_killed"]" became not supported: Value of type "string" is not suitable for value type "Numeric (unsigned)". Value "wget: server returned error: HTTP/1.1 404 Not Found\n0"
[pod/zabbix-server-65c5d5b99b-6nlpw/zabbix-server]    203:20260402:095804.420 item "zabbix-server:k8s_pod_metrics.sh["actions-runner-system","swarm-runners-scaleset-97tpt-runner-524bq","restarts"]" became not supported: Value of type "string" is not suitable for value type "Numeric (unsigned)". Value "wget: server returned error: HTTP/1.1 404 Not Found\n0"
[pod/zabbix-server-65c5d5b99b-6nlpw/zabbix-server]    202:20260402:095804.912 item "zabbix-server:k8s_pod_metrics.sh["actions-runner-system","swarm-runners-scaleset-97tpt-runner-ndj66","restarts"]" became not supported: Value of type "string" is not suitable for value type "Numeric (unsigned)". Value "wget: server returned error: HTTP/1.1 404 Not Found\n0"
[pod/zabbix-server-65c5d5b99b-6nlpw/zabbix-server]    200:20260402:095806.180 item "zabbix-server:k8s_pod_metrics.sh["actions-runner-system","swarm-runners-scaleset-97tpt-runner-524bq","memory"]" became not supported: Value of type "string" is not suitable for value type "Numeric (unsigned)". Value "wget: server returned error: HTTP/1.1 404 Not Found\n0"
[pod/zabbix-server-65c5d5b99b-6nlpw/zabbix-server]    202:20260402:095808.360 item "zabbix-server:k8s_pod_metrics.sh["actions-runner-system","swarm-runners-scaleset-97tpt-runner-ndj66","cpu"]" became not supported: Value of type "string" is not suitable for value type "Numeric (float)". Value "wget: server returned error: HTTP/1.1 404 Not Found\n0"
[pod/zabbix-server-65c5d5b99b-6nlpw/zabbix-server]    202:20260402:095809.415 item "zabbix-server:k8s_pod_metrics.sh["actions-runner-system","swarm-runners-scaleset-97tpt-runner-524bq","limits_cpu"]" became not supported: Value of type "string" is not suitable for value type "Numeric (float)". Value "wget: server returned error: HTTP/1.1 404 Not Found\n0"
[pod/zabbix-server-65c5d5b99b-6nlpw/zabbix-server]    203:20260402:095811.676 item "zabbix-server:k8s_pod_metrics.sh["actions-runner-system","swarm-runners-scaleset-97tpt-runner-ndj66","oom_killed"]" became not supported: Value of type "string" is not suitable for value type "Numeric (unsigned)". Value "wget: server returned error: HTTP/1.1 404 Not Found\n0"
[pod/zabbix-server-65c5d5b99b-6nlpw/zabbix-server]    200:20260402:095812.965 item "zabbix-server:k8s_pod_metrics.sh["actions-runner-system","swarm-runners-scaleset-97tpt-runner-ndj66","limits_cpu"]" became not supported: Value of type "string" is not suitable for value type "Numeric (float)". Value "wget: server returned error: HTTP/1.1 404 Not Found\n0"
[pod/zabbix-server-65c5d5b99b-6nlpw/zabbix-server]    214:20260402:095845.914 Failed to execute command "/usr/lib/zabbix/externalscripts/k8s_cluster_stats.sh": Timeout while executing a shell script.
[pod/zabbix-server-65c5d5b99b-6nlpw/zabbix-server]    214:20260402:100018.146 Failed to execute command "/usr/lib/zabbix/externalscripts/k8s_cluster_stats.sh": Timeout while executing a shell script.
