=== Logs for Service: ingress-nginx-controller-admission (Namespace: ingress-nginx) ===
=== Date: Fri Apr  3 12:59:11 UTC 2026 ===
=== Selector: app.kubernetes.io/component=controller,app.kubernetes.io/instance=ingress-nginx,app.kubernetes.io/name=ingress-nginx ===

[pod/ingress-nginx-controller-5c78d86944-5ld5d/controller] W0403 12:42:29.643345       7 controller.go:1451] Unexpected error validating SSL certificate "itop/ka0s-wildcard-tls" for server "itsm.ka0s.io": x509: certificate relies on legacy Common Name field, use SANs instead
[pod/ingress-nginx-controller-5c78d86944-5ld5d/controller] W0403 12:42:29.643375       7 controller.go:1452] Validating certificate against DNS names. This will be deprecated in a future version
[pod/ingress-nginx-controller-5c78d86944-5ld5d/controller] W0403 12:42:29.643423       7 controller.go:1437] Error getting SSL certificate "metabase/metabase-tls": local SSL certificate metabase/metabase-tls was not found. Using default certificate
[pod/ingress-nginx-controller-5c78d86944-5ld5d/controller] W0403 12:42:29.643461       7 controller.go:1437] Error getting SSL certificate "docs-portal/docs-ka0s-tls": local SSL certificate docs-portal/docs-ka0s-tls was not found. Using default certificate
[pod/ingress-nginx-controller-5c78d86944-5ld5d/controller] W0403 12:42:32.977427       7 controller.go:1451] Unexpected error validating SSL certificate "kubernetes-dashboard/ka0s-wildcard-tls" for server "dashboard.ka0s.io": x509: certificate relies on legacy Common Name field, use SANs instead
[pod/ingress-nginx-controller-5c78d86944-5ld5d/controller] W0403 12:42:32.977540       7 controller.go:1452] Validating certificate against DNS names. This will be deprecated in a future version
[pod/ingress-nginx-controller-5c78d86944-5ld5d/controller] W0403 12:42:32.977606       7 controller.go:1451] Unexpected error validating SSL certificate "itop/ka0s-wildcard-tls" for server "itsm.ka0s.io": x509: certificate relies on legacy Common Name field, use SANs instead
[pod/ingress-nginx-controller-5c78d86944-5ld5d/controller] W0403 12:42:32.977677       7 controller.go:1452] Validating certificate against DNS names. This will be deprecated in a future version
[pod/ingress-nginx-controller-5c78d86944-5ld5d/controller] W0403 12:42:32.977767       7 controller.go:1437] Error getting SSL certificate "metabase/metabase-tls": local SSL certificate metabase/metabase-tls was not found. Using default certificate
[pod/ingress-nginx-controller-5c78d86944-5ld5d/controller] W0403 12:42:32.977843       7 controller.go:1437] Error getting SSL certificate "docs-portal/docs-ka0s-tls": local SSL certificate docs-portal/docs-ka0s-tls was not found. Using default certificate
