=== Logs for Service: ingress-nginx-controller (Namespace: ingress-nginx) ===
=== Date: Fri Apr  3 14:04:49 UTC 2026 ===
=== Selector: app.kubernetes.io/component=controller,app.kubernetes.io/instance=ingress-nginx,app.kubernetes.io/name=ingress-nginx ===

[pod/ingress-nginx-controller-5c78d86944-5ld5d/controller] W0403 14:04:01.224345       7 controller.go:1451] Unexpected error validating SSL certificate "itop/ka0s-wildcard-tls" for server "itsm.ka0s.io": x509: certificate relies on legacy Common Name field, use SANs instead
[pod/ingress-nginx-controller-5c78d86944-5ld5d/controller] W0403 14:04:01.224403       7 controller.go:1452] Validating certificate against DNS names. This will be deprecated in a future version
[pod/ingress-nginx-controller-5c78d86944-5ld5d/controller] W0403 14:04:01.224517       7 controller.go:1437] Error getting SSL certificate "metabase/metabase-tls": local SSL certificate metabase/metabase-tls was not found. Using default certificate
[pod/ingress-nginx-controller-5c78d86944-5ld5d/controller] W0403 14:04:01.224581       7 controller.go:1437] Error getting SSL certificate "docs-portal/docs-ka0s-tls": local SSL certificate docs-portal/docs-ka0s-tls was not found. Using default certificate
[pod/ingress-nginx-controller-5c78d86944-5ld5d/controller] W0403 14:04:04.558048       7 controller.go:1451] Unexpected error validating SSL certificate "kubernetes-dashboard/ka0s-wildcard-tls" for server "dashboard.ka0s.io": x509: certificate relies on legacy Common Name field, use SANs instead
[pod/ingress-nginx-controller-5c78d86944-5ld5d/controller] W0403 14:04:04.558159       7 controller.go:1452] Validating certificate against DNS names. This will be deprecated in a future version
[pod/ingress-nginx-controller-5c78d86944-5ld5d/controller] W0403 14:04:04.558224       7 controller.go:1451] Unexpected error validating SSL certificate "itop/ka0s-wildcard-tls" for server "itsm.ka0s.io": x509: certificate relies on legacy Common Name field, use SANs instead
[pod/ingress-nginx-controller-5c78d86944-5ld5d/controller] W0403 14:04:04.558294       7 controller.go:1452] Validating certificate against DNS names. This will be deprecated in a future version
[pod/ingress-nginx-controller-5c78d86944-5ld5d/controller] W0403 14:04:04.558382       7 controller.go:1437] Error getting SSL certificate "metabase/metabase-tls": local SSL certificate metabase/metabase-tls was not found. Using default certificate
[pod/ingress-nginx-controller-5c78d86944-5ld5d/controller] W0403 14:04:04.558440       7 controller.go:1437] Error getting SSL certificate "docs-portal/docs-ka0s-tls": local SSL certificate docs-portal/docs-ka0s-tls was not found. Using default certificate
