=== Logs for Service: zabbix-server (Namespace: zabbix) ===
=== Date: Sun Apr  5 15:32:13 UTC 2026 ===
=== Selector: app=zabbix-server ===

[pod/zabbix-server-65c5d5b99b-6nlpw/zabbix-server]    200:20260405:153125.452 item "k8-node-20:net.if.out["calic37c15df843",errors]" became not supported: Cannot find information for this network interface in /proc/net/dev.
[pod/zabbix-server-65c5d5b99b-6nlpw/zabbix-server]    203:20260405:153132.714 item "k8-node-20:net.if.in["calic37c15df843",errors]" became not supported: Cannot find information for this network interface in /proc/net/dev.
[pod/zabbix-server-65c5d5b99b-6nlpw/zabbix-server]    200:20260405:153137.414 item "k8-node-20:net.if.out["calic37c15df843"]" became not supported: Cannot find information for this network interface in /proc/net/dev.
[pod/zabbix-server-65c5d5b99b-6nlpw/zabbix-server]    202:20260405:153139.463 item "k8-node-20:vfs.file.contents["/sys/class/net/calic37c15df843/operstate"]" became not supported: Cannot obtain file /sys/class/net/calic37c15df843/operstate information: stat /sys/class/net/calic37c15df843/operstate: no such file or directory
[pod/zabbix-server-65c5d5b99b-6nlpw/zabbix-server]    202:20260405:153140.467 item "k8-node-20:net.if.out["calic37c15df843",dropped]" became not supported: Cannot find information for this network interface in /proc/net/dev.
[pod/zabbix-server-65c5d5b99b-6nlpw/zabbix-server]    202:20260405:153145.569 item "k8-node-20:net.if.in["calic37c15df843"]" became not supported: Cannot find information for this network interface in /proc/net/dev.
[pod/zabbix-server-65c5d5b99b-6nlpw/zabbix-server]    200:20260405:153157.458 item "zabbix-server:k8s_pod_metrics.sh["ka0s-knowledge","rag-ingest-code-devsecops-29590030-tlln5","limits_cpu"]" became not supported: Value of type "string" is not suitable for value type "Numeric (float)". Value "wget: server returned error: HTTP/1.1 404 Not Found\n0"
[pod/zabbix-server-65c5d5b99b-6nlpw/zabbix-server]    200:20260405:153200.319 item "zabbix-server:k8s_pod_metrics.sh["ka0s-knowledge","mongo-vectorize-log-29590020-jnz2h","cpu"]" became not supported: Value of type "string" is not suitable for value type "Numeric (float)". Value "wget: server returned error: HTTP/1.1 404 Not Found\n0"
[pod/zabbix-server-65c5d5b99b-6nlpw/zabbix-server]    201:20260405:153201.009 item "zabbix-server:k8s_pod_metrics.sh["ka0s-knowledge","mongo-vectorize-log-29590020-jnz2h","memory"]" became not supported: Value of type "string" is not suitable for value type "Numeric (unsigned)". Value "wget: server returned error: HTTP/1.1 404 Not Found\n0"
[pod/zabbix-server-65c5d5b99b-6nlpw/zabbix-server]    202:20260405:153206.362 item "zabbix-server:k8s_pod_metrics.sh["ka0s-knowledge","mongo-vectorize-json-29590030-kxf72","restarts"]" became not supported: Value of type "string" is not suitable for value type "Numeric (unsigned)". Value "wget: server returned error: HTTP/1.1 404 Not Found\n0"
