=== Logs for Service: zabbix-server (Namespace: zabbix) ===
=== Date: Mon Apr  6 21:38:27 UTC 2026 ===
=== Selector: app=zabbix-server ===

[pod/zabbix-server-65c5d5b99b-6nlpw/zabbix-server]    200:20260406:213721.468 item "zabbix-server:k8s_pod_metrics.sh["actions-runner-system","swarm-runners-scaleset-ka0s-p5l6k-runner-9zwv4","limits_memory"]" became not supported: Value of type "string" is not suitable for value type "Numeric (unsigned)". Value "wget: server returned error: HTTP/1.1 404 Not Found\n0"
[pod/zabbix-server-65c5d5b99b-6nlpw/zabbix-server]    203:20260406:213721.513 item "zabbix-server:k8s_pod_metrics.sh["actions-runner-system","swarm-runners-scaleset-ka0s-p5l6k-runner-fwkpb","cpu"]" became not supported: Value of type "string" is not suitable for value type "Numeric (float)". Value "wget: server returned error: HTTP/1.1 404 Not Found\n0"
[pod/zabbix-server-65c5d5b99b-6nlpw/zabbix-server]    203:20260406:213721.513 item "zabbix-server:k8s_pod_metrics.sh["actions-runner-system","swarm-runners-scaleset-ka0s-p5l6k-runner-fwkpb","limits_memory"]" became not supported: Value of type "string" is not suitable for value type "Numeric (unsigned)". Value "wget: server returned error: HTTP/1.1 404 Not Found\n0"
[pod/zabbix-server-65c5d5b99b-6nlpw/zabbix-server]    201:20260406:213721.604 item "zabbix-server:k8s_pod_metrics.sh["actions-runner-system","swarm-runners-scaleset-ka0s-p5l6k-runner-jkdmj","oom_killed"]" became not supported: Value of type "string" is not suitable for value type "Numeric (unsigned)". Value "wget: server returned error: HTTP/1.1 404 Not Found\n0"
[pod/zabbix-server-65c5d5b99b-6nlpw/zabbix-server]    201:20260406:213721.672 item "zabbix-server:k8s_pod_metrics.sh["actions-runner-system","swarm-runners-scaleset-ka0s-p5l6k-runner-fwkpb","limits_cpu"]" became not supported: Value of type "string" is not suitable for value type "Numeric (float)". Value "wget: server returned error: HTTP/1.1 404 Not Found\n0"
[pod/zabbix-server-65c5d5b99b-6nlpw/zabbix-server]    201:20260406:213721.673 item "zabbix-server:k8s_pod_metrics.sh["actions-runner-system","swarm-runners-scaleset-ka0s-p5l6k-runner-fwkpb","oom_killed"]" became not supported: Value of type "string" is not suitable for value type "Numeric (unsigned)". Value "wget: server returned error: HTTP/1.1 404 Not Found\n0"
[pod/zabbix-server-65c5d5b99b-6nlpw/zabbix-server]    201:20260406:213721.673 item "zabbix-server:k8s_pod_metrics.sh["actions-runner-system","swarm-runners-scaleset-ka0s-p5l6k-runner-9zwv4","memory"]" became not supported: Value of type "string" is not suitable for value type "Numeric (unsigned)". Value "wget: server returned error: HTTP/1.1 404 Not Found\n0"
[pod/zabbix-server-65c5d5b99b-6nlpw/zabbix-server]    202:20260406:213721.766 item "zabbix-server:k8s_pod_metrics.sh["actions-runner-system","swarm-runners-scaleset-ka0s-p5l6k-runner-fwkpb","restarts"]" became not supported: Value of type "string" is not suitable for value type "Numeric (unsigned)". Value "wget: server returned error: HTTP/1.1 404 Not Found\n0"
[pod/zabbix-server-65c5d5b99b-6nlpw/zabbix-server]    202:20260406:213721.766 item "zabbix-server:k8s_pod_metrics.sh["actions-runner-system","swarm-runners-scaleset-ka0s-p5l6k-runner-jkdmj","memory"]" became not supported: Value of type "string" is not suitable for value type "Numeric (unsigned)". Value "wget: server returned error: HTTP/1.1 404 Not Found\n0"
[pod/zabbix-server-65c5d5b99b-6nlpw/zabbix-server]    209:20260406:213805.120 Failed to execute command "/usr/lib/zabbix/externalscripts/k8s_cluster_stats.sh": Timeout while executing a shell script.
