markdownlint-cli2 v0.20.0 (markdownlint v0.40.0)
Finding: core/docs/ka0s_ssh_connect/ka0s_ssh_connect.md
Linting: 1 file(s)
Summary: 42 error(s)
core/docs/ka0s_ssh_connect/ka0s_ssh_connect.md:17:1 error MD030/list-marker-space Spaces after list markers [Expected: 1; Actual: 3]
core/docs/ka0s_ssh_connect/ka0s_ssh_connect.md:18:1 error MD030/list-marker-space Spaces after list markers [Expected: 1; Actual: 3]
core/docs/ka0s_ssh_connect/ka0s_ssh_connect.md:19:1 error MD030/list-marker-space Spaces after list markers [Expected: 1; Actual: 3]
core/docs/ka0s_ssh_connect/ka0s_ssh_connect.md:20:1 error MD030/list-marker-space Spaces after list markers [Expected: 1; Actual: 3]
core/docs/ka0s_ssh_connect/ka0s_ssh_connect.md:21:1 error MD030/list-marker-space Spaces after list markers [Expected: 1; Actual: 3]
core/docs/ka0s_ssh_connect/ka0s_ssh_connect.md:22:1 error MD030/list-marker-space Spaces after list markers [Expected: 1; Actual: 3]
core/docs/ka0s_ssh_connect/ka0s_ssh_connect.md:23:1 error MD030/list-marker-space Spaces after list markers [Expected: 1; Actual: 3]
core/docs/ka0s_ssh_connect/ka0s_ssh_connect.md:41:1 error MD030/list-marker-space Spaces after list markers [Expected: 1; Actual: 2]
core/docs/ka0s_ssh_connect/ka0s_ssh_connect.md:42:5 error MD004/ul-style Unordered list style [Expected: dash; Actual: asterisk]
core/docs/ka0s_ssh_connect/ka0s_ssh_connect.md:42:5 error MD030/list-marker-space Spaces after list markers [Expected: 1; Actual: 3]
core/docs/ka0s_ssh_connect/ka0s_ssh_connect.md:43:5 error MD004/ul-style Unordered list style [Expected: dash; Actual: asterisk]
core/docs/ka0s_ssh_connect/ka0s_ssh_connect.md:43:5 error MD030/list-marker-space Spaces after list markers [Expected: 1; Actual: 3]
core/docs/ka0s_ssh_connect/ka0s_ssh_connect.md:44:5 error MD004/ul-style Unordered list style [Expected: dash; Actual: asterisk]
core/docs/ka0s_ssh_connect/ka0s_ssh_connect.md:44:5 error MD030/list-marker-space Spaces after list markers [Expected: 1; Actual: 3]
core/docs/ka0s_ssh_connect/ka0s_ssh_connect.md:45:1 error MD030/list-marker-space Spaces after list markers [Expected: 1; Actual: 2]
core/docs/ka0s_ssh_connect/ka0s_ssh_connect.md:51:1 error MD030/list-marker-space Spaces after list markers [Expected: 1; Actual: 3]
core/docs/ka0s_ssh_connect/ka0s_ssh_connect.md:52:5 error MD030/list-marker-space Spaces after list markers [Expected: 1; Actual: 2]
core/docs/ka0s_ssh_connect/ka0s_ssh_connect.md:53:5 error MD030/list-marker-space Spaces after list markers [Expected: 1; Actual: 2]
core/docs/ka0s_ssh_connect/ka0s_ssh_connect.md:54:5 error MD030/list-marker-space Spaces after list markers [Expected: 1; Actual: 2]
core/docs/ka0s_ssh_connect/ka0s_ssh_connect.md:55:5 error MD030/list-marker-space Spaces after list markers [Expected: 1; Actual: 2]
core/docs/ka0s_ssh_connect/ka0s_ssh_connect.md:56:1 error MD030/list-marker-space Spaces after list markers [Expected: 1; Actual: 3]
core/docs/ka0s_ssh_connect/ka0s_ssh_connect.md:57:1 error MD030/list-marker-space Spaces after list markers [Expected: 1; Actual: 3]
core/docs/ka0s_ssh_connect/ka0s_ssh_connect.md:58:1 error MD030/list-marker-space Spaces after list markers [Expected: 1; Actual: 3]
core/docs/ka0s_ssh_connect/ka0s_ssh_connect.md:68:1 error MD030/list-marker-space Spaces after list markers [Expected: 1; Actual: 2]
core/docs/ka0s_ssh_connect/ka0s_ssh_connect.md:69:1 error MD030/list-marker-space Spaces after list markers [Expected: 1; Actual: 2]
core/docs/ka0s_ssh_connect/ka0s_ssh_connect.md:70:1 error MD030/list-marker-space Spaces after list markers [Expected: 1; Actual: 2]
core/docs/ka0s_ssh_connect/ka0s_ssh_connect.md:71:1 error MD030/list-marker-space Spaces after list markers [Expected: 1; Actual: 2]
core/docs/ka0s_ssh_connect/ka0s_ssh_connect.md:72:1 error MD030/list-marker-space Spaces after list markers [Expected: 1; Actual: 2]
core/docs/ka0s_ssh_connect/ka0s_ssh_connect.md:73:1 error MD030/list-marker-space Spaces after list markers [Expected: 1; Actual: 2]
core/docs/ka0s_ssh_connect/ka0s_ssh_connect.md:74:1 error MD030/list-marker-space Spaces after list markers [Expected: 1; Actual: 2]
core/docs/ka0s_ssh_connect/ka0s_ssh_connect.md:80:1 error MD030/list-marker-space Spaces after list markers [Expected: 1; Actual: 2]
core/docs/ka0s_ssh_connect/ka0s_ssh_connect.md:81:1 error MD030/list-marker-space Spaces after list markers [Expected: 1; Actual: 2]
core/docs/ka0s_ssh_connect/ka0s_ssh_connect.md:82:1 error MD030/list-marker-space Spaces after list markers [Expected: 1; Actual: 2]
core/docs/ka0s_ssh_connect/ka0s_ssh_connect.md:83:1 error MD030/list-marker-space Spaces after list markers [Expected: 1; Actual: 2]
core/docs/ka0s_ssh_connect/ka0s_ssh_connect.md:84:5 error MD004/ul-style Unordered list style [Expected: dash; Actual: asterisk]
core/docs/ka0s_ssh_connect/ka0s_ssh_connect.md:84:5 error MD030/list-marker-space Spaces after list markers [Expected: 1; Actual: 3]
core/docs/ka0s_ssh_connect/ka0s_ssh_connect.md:85:5 error MD004/ul-style Unordered list style [Expected: dash; Actual: asterisk]
core/docs/ka0s_ssh_connect/ka0s_ssh_connect.md:85:5 error MD030/list-marker-space Spaces after list markers [Expected: 1; Actual: 3]
core/docs/ka0s_ssh_connect/ka0s_ssh_connect.md:86:5 error MD004/ul-style Unordered list style [Expected: dash; Actual: asterisk]
core/docs/ka0s_ssh_connect/ka0s_ssh_connect.md:86:5 error MD030/list-marker-space Spaces after list markers [Expected: 1; Actual: 3]
core/docs/ka0s_ssh_connect/ka0s_ssh_connect.md:87:1 error MD030/list-marker-space Spaces after list markers [Expected: 1; Actual: 2]
core/docs/ka0s_ssh_connect/ka0s_ssh_connect.md:89:98 error MD047/single-trailing-newline Files should end with a single newline character
