markdownlint-cli2 v0.20.0 (markdownlint v0.40.0)
Finding: core/docs/ka0s_itop/02_configuration.md
Linting: 1 file(s)
Summary: 14 error(s)
core/docs/ka0s_itop/02_configuration.md:9:1 error MD030/list-marker-space Spaces after list markers [Expected: 1; Actual: 2]
core/docs/ka0s_itop/02_configuration.md:10:1 error MD030/list-marker-space Spaces after list markers [Expected: 1; Actual: 2]
core/docs/ka0s_itop/02_configuration.md:11:5 error MD030/list-marker-space Spaces after list markers [Expected: 1; Actual: 3]
core/docs/ka0s_itop/02_configuration.md:12:5 error MD030/list-marker-space Spaces after list markers [Expected: 1; Actual: 3]
core/docs/ka0s_itop/02_configuration.md:13:5 error MD030/list-marker-space Spaces after list markers [Expected: 1; Actual: 3]
core/docs/ka0s_itop/02_configuration.md:14:5 error MD030/list-marker-space Spaces after list markers [Expected: 1; Actual: 3]
core/docs/ka0s_itop/02_configuration.md:15:1 error MD030/list-marker-space Spaces after list markers [Expected: 1; Actual: 2]
core/docs/ka0s_itop/02_configuration.md:16:5 error MD030/list-marker-space Spaces after list markers [Expected: 1; Actual: 3]
core/docs/ka0s_itop/02_configuration.md:17:1 error MD030/list-marker-space Spaces after list markers [Expected: 1; Actual: 2]
core/docs/ka0s_itop/02_configuration.md:18:5 error MD030/list-marker-space Spaces after list markers [Expected: 1; Actual: 3]
core/docs/ka0s_itop/02_configuration.md:19:1 error MD030/list-marker-space Spaces after list markers [Expected: 1; Actual: 2]
core/docs/ka0s_itop/02_configuration.md:25:1 error MD030/list-marker-space Spaces after list markers [Expected: 1; Actual: 2]
core/docs/ka0s_itop/02_configuration.md:26:1 error MD030/list-marker-space Spaces after list markers [Expected: 1; Actual: 2]
core/docs/ka0s_itop/02_configuration.md:27:1 error MD030/list-marker-space Spaces after list markers [Expected: 1; Actual: 2]
