markdownlint-cli2 v0.20.0 (markdownlint v0.40.0)
Finding: core/docs/ka0s_itop/07_workflow_selection_strategy.md
Linting: 1 file(s)
Summary: 27 error(s)
core/docs/ka0s_itop/07_workflow_selection_strategy.md:19:1 error MD030/list-marker-space Spaces after list markers [Expected: 1; Actual: 2]
core/docs/ka0s_itop/07_workflow_selection_strategy.md:20:1 error MD030/list-marker-space Spaces after list markers [Expected: 1; Actual: 2]
core/docs/ka0s_itop/07_workflow_selection_strategy.md:21:1 error MD030/list-marker-space Spaces after list markers [Expected: 1; Actual: 2]
core/docs/ka0s_itop/07_workflow_selection_strategy.md:22:5 error MD030/list-marker-space Spaces after list markers [Expected: 1; Actual: 3]
core/docs/ka0s_itop/07_workflow_selection_strategy.md:23:5 error MD030/list-marker-space Spaces after list markers [Expected: 1; Actual: 3]
core/docs/ka0s_itop/07_workflow_selection_strategy.md:24:5 error MD030/list-marker-space Spaces after list markers [Expected: 1; Actual: 3]
core/docs/ka0s_itop/07_workflow_selection_strategy.md:30:1 error MD030/list-marker-space Spaces after list markers [Expected: 1; Actual: 2]
core/docs/ka0s_itop/07_workflow_selection_strategy.md:31:1 error MD030/list-marker-space Spaces after list markers [Expected: 1; Actual: 2]
core/docs/ka0s_itop/07_workflow_selection_strategy.md:32:5 error MD030/list-marker-space Spaces after list markers [Expected: 1; Actual: 3]
core/docs/ka0s_itop/07_workflow_selection_strategy.md:33:5 error MD030/list-marker-space Spaces after list markers [Expected: 1; Actual: 3]
core/docs/ka0s_itop/07_workflow_selection_strategy.md:34:5 error MD030/list-marker-space Spaces after list markers [Expected: 1; Actual: 3]
core/docs/ka0s_itop/07_workflow_selection_strategy.md:35:5 error MD030/list-marker-space Spaces after list markers [Expected: 1; Actual: 3]
core/docs/ka0s_itop/07_workflow_selection_strategy.md:37:1 error MD030/list-marker-space Spaces after list markers [Expected: 1; Actual: 2]
core/docs/ka0s_itop/07_workflow_selection_strategy.md:50:1 error MD030/list-marker-space Spaces after list markers [Expected: 1; Actual: 2]
core/docs/ka0s_itop/07_workflow_selection_strategy.md:51:1 error MD030/list-marker-space Spaces after list markers [Expected: 1; Actual: 2]
core/docs/ka0s_itop/07_workflow_selection_strategy.md:52:5 error MD030/list-marker-space Spaces after list markers [Expected: 1; Actual: 3]
core/docs/ka0s_itop/07_workflow_selection_strategy.md:56:1 error MD030/list-marker-space Spaces after list markers [Expected: 1; Actual: 2]
core/docs/ka0s_itop/07_workflow_selection_strategy.md:57:1 error MD030/list-marker-space Spaces after list markers [Expected: 1; Actual: 2]
core/docs/ka0s_itop/07_workflow_selection_strategy.md:58:1 error MD030/list-marker-space Spaces after list markers [Expected: 1; Actual: 2]
core/docs/ka0s_itop/07_workflow_selection_strategy.md:59:1 error MD030/list-marker-space Spaces after list markers [Expected: 1; Actual: 2]
core/docs/ka0s_itop/07_workflow_selection_strategy.md:65:1 error MD030/list-marker-space Spaces after list markers [Expected: 1; Actual: 2]
core/docs/ka0s_itop/07_workflow_selection_strategy.md:66:1 error MD030/list-marker-space Spaces after list markers [Expected: 1; Actual: 2]
core/docs/ka0s_itop/07_workflow_selection_strategy.md:67:1 error MD030/list-marker-space Spaces after list markers [Expected: 1; Actual: 2]
core/docs/ka0s_itop/07_workflow_selection_strategy.md:68:1 error MD030/list-marker-space Spaces after list markers [Expected: 1; Actual: 2]
core/docs/ka0s_itop/07_workflow_selection_strategy.md:69:1 error MD030/list-marker-space Spaces after list markers [Expected: 1; Actual: 2]
core/docs/ka0s_itop/07_workflow_selection_strategy.md:70:1 error MD030/list-marker-space Spaces after list markers [Expected: 1; Actual: 2]
core/docs/ka0s_itop/07_workflow_selection_strategy.md:71:1 error MD030/list-marker-space Spaces after list markers [Expected: 1; Actual: 2]
