markdownlint-cli2 v0.20.0 (markdownlint v0.40.0)
Finding: core/ai/prompt_ka0s.md
Linting: 1 file(s)
Summary: 66 error(s)
core/ai/prompt_ka0s.md:7:1 error MD030/list-marker-space Spaces after list markers [Expected: 1; Actual: 3]
core/ai/prompt_ka0s.md:8:1 error MD030/list-marker-space Spaces after list markers [Expected: 1; Actual: 3]
core/ai/prompt_ka0s.md:9:1 error MD030/list-marker-space Spaces after list markers [Expected: 1; Actual: 3]
core/ai/prompt_ka0s.md:15:1 error MD030/list-marker-space Spaces after list markers [Expected: 1; Actual: 2]
core/ai/prompt_ka0s.md:16:1 error MD030/list-marker-space Spaces after list markers [Expected: 1; Actual: 2]
core/ai/prompt_ka0s.md:17:1 error MD030/list-marker-space Spaces after list markers [Expected: 1; Actual: 2]
core/ai/prompt_ka0s.md:18:1 error MD030/list-marker-space Spaces after list markers [Expected: 1; Actual: 2]
core/ai/prompt_ka0s.md:19:1 error MD030/list-marker-space Spaces after list markers [Expected: 1; Actual: 2]
core/ai/prompt_ka0s.md:25:1 error MD030/list-marker-space Spaces after list markers [Expected: 1; Actual: 3]
core/ai/prompt_ka0s.md:26:1 error MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]
core/ai/prompt_ka0s.md:26:5 error MD030/list-marker-space Spaces after list markers [Expected: 1; Actual: 3]
core/ai/prompt_ka0s.md:27:1 error MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]
core/ai/prompt_ka0s.md:27:5 error MD030/list-marker-space Spaces after list markers [Expected: 1; Actual: 3]
core/ai/prompt_ka0s.md:28:1 error MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]
core/ai/prompt_ka0s.md:28:5 error MD030/list-marker-space Spaces after list markers [Expected: 1; Actual: 3]
core/ai/prompt_ka0s.md:29:1 error MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]
core/ai/prompt_ka0s.md:29:5 error MD030/list-marker-space Spaces after list markers [Expected: 1; Actual: 3]
core/ai/prompt_ka0s.md:30:1 error MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]
core/ai/prompt_ka0s.md:30:5 error MD030/list-marker-space Spaces after list markers [Expected: 1; Actual: 3]
core/ai/prompt_ka0s.md:31:1 error MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]
core/ai/prompt_ka0s.md:31:5 error MD030/list-marker-space Spaces after list markers [Expected: 1; Actual: 3]
core/ai/prompt_ka0s.md:32:1 error MD030/list-marker-space Spaces after list markers [Expected: 1; Actual: 3]
core/ai/prompt_ka0s.md:33:1 error MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]
core/ai/prompt_ka0s.md:33:5 error MD030/list-marker-space Spaces after list markers [Expected: 1; Actual: 3]
core/ai/prompt_ka0s.md:34:1 error MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]
core/ai/prompt_ka0s.md:34:5 error MD030/list-marker-space Spaces after list markers [Expected: 1; Actual: 3]
core/ai/prompt_ka0s.md:35:1 error MD030/list-marker-space Spaces after list markers [Expected: 1; Actual: 3]
core/ai/prompt_ka0s.md:36:1 error MD030/list-marker-space Spaces after list markers [Expected: 1; Actual: 3]
core/ai/prompt_ka0s.md:37:1 error MD030/list-marker-space Spaces after list markers [Expected: 1; Actual: 3]
core/ai/prompt_ka0s.md:43:1 error MD030/list-marker-space Spaces after list markers [Expected: 1; Actual: 2]
core/ai/prompt_ka0s.md:44:5 error MD030/list-marker-space Spaces after list markers [Expected: 1; Actual: 3]
core/ai/prompt_ka0s.md:45:5 error MD030/list-marker-space Spaces after list markers [Expected: 1; Actual: 3]
core/ai/prompt_ka0s.md:47:1 error MD030/list-marker-space Spaces after list markers [Expected: 1; Actual: 2]
core/ai/prompt_ka0s.md:48:5 error MD030/list-marker-space Spaces after list markers [Expected: 1; Actual: 3]
core/ai/prompt_ka0s.md:49:5 error MD030/list-marker-space Spaces after list markers [Expected: 1; Actual: 3]
core/ai/prompt_ka0s.md:51:1 error MD030/list-marker-space Spaces after list markers [Expected: 1; Actual: 2]
core/ai/prompt_ka0s.md:52:5 error MD030/list-marker-space Spaces after list markers [Expected: 1; Actual: 3]
core/ai/prompt_ka0s.md:53:5 error MD030/list-marker-space Spaces after list markers [Expected: 1; Actual: 3]
core/ai/prompt_ka0s.md:55:1 error MD030/list-marker-space Spaces after list markers [Expected: 1; Actual: 2]
core/ai/prompt_ka0s.md:56:5 error MD030/list-marker-space Spaces after list markers [Expected: 1; Actual: 3]
core/ai/prompt_ka0s.md:57:5 error MD030/list-marker-space Spaces after list markers [Expected: 1; Actual: 3]
core/ai/prompt_ka0s.md:59:1 error MD030/list-marker-space Spaces after list markers [Expected: 1; Actual: 2]
core/ai/prompt_ka0s.md:60:5 error MD030/list-marker-space Spaces after list markers [Expected: 1; Actual: 3]
core/ai/prompt_ka0s.md:61:5 error MD030/list-marker-space Spaces after list markers [Expected: 1; Actual: 3]
core/ai/prompt_ka0s.md:63:1 error MD030/list-marker-space Spaces after list markers [Expected: 1; Actual: 2]
core/ai/prompt_ka0s.md:64:5 error MD030/list-marker-space Spaces after list markers [Expected: 1; Actual: 3]
core/ai/prompt_ka0s.md:65:5 error MD030/list-marker-space Spaces after list markers [Expected: 1; Actual: 3]
core/ai/prompt_ka0s.md:67:1 error MD030/list-marker-space Spaces after list markers [Expected: 1; Actual: 2]
core/ai/prompt_ka0s.md:68:5 error MD030/list-marker-space Spaces after list markers [Expected: 1; Actual: 3]
core/ai/prompt_ka0s.md:69:5 error MD030/list-marker-space Spaces after list markers [Expected: 1; Actual: 3]
core/ai/prompt_ka0s.md:73:1 error MD030/list-marker-space Spaces after list markers [Expected: 1; Actual: 2]
core/ai/prompt_ka0s.md:74:1 error MD030/list-marker-space Spaces after list markers [Expected: 1; Actual: 2]
core/ai/prompt_ka0s.md:75:1 error MD030/list-marker-space Spaces after list markers [Expected: 1; Actual: 2]
core/ai/prompt_ka0s.md:76:1 error MD030/list-marker-space Spaces after list markers [Expected: 1; Actual: 2]
core/ai/prompt_ka0s.md:80:1 error MD030/list-marker-space Spaces after list markers [Expected: 1; Actual: 3]
core/ai/prompt_ka0s.md:81:1 error MD030/list-marker-space Spaces after list markers [Expected: 1; Actual: 3]
core/ai/prompt_ka0s.md:82:5 error MD030/list-marker-space Spaces after list markers [Expected: 1; Actual: 2]
core/ai/prompt_ka0s.md:83:5 error MD030/list-marker-space Spaces after list markers [Expected: 1; Actual: 2]
core/ai/prompt_ka0s.md:84:5 error MD030/list-marker-space Spaces after list markers [Expected: 1; Actual: 2]
core/ai/prompt_ka0s.md:85:5 error MD030/list-marker-space Spaces after list markers [Expected: 1; Actual: 2]
core/ai/prompt_ka0s.md:88:1 error MD030/list-marker-space Spaces after list markers [Expected: 1; Actual: 3]
core/ai/prompt_ka0s.md:89:1 error MD030/list-marker-space Spaces after list markers [Expected: 1; Actual: 3]
core/ai/prompt_ka0s.md:90:5 error MD030/list-marker-space Spaces after list markers [Expected: 1; Actual: 2]
core/ai/prompt_ka0s.md:91:5 error MD030/list-marker-space Spaces after list markers [Expected: 1; Actual: 2]
core/ai/prompt_ka0s.md:92:5 error MD030/list-marker-space Spaces after list markers [Expected: 1; Actual: 2]
core/ai/prompt_ka0s.md:93:5 error MD030/list-marker-space Spaces after list markers [Expected: 1; Actual: 2]
