markdownlint-cli2 v0.20.0 (markdownlint v0.40.0)
Finding: core/ai/prompt_n8n.md
Linting: 1 file(s)
Summary: 52 error(s)
core/ai/prompt_n8n.md:7:1 error MD030/list-marker-space Spaces after list markers [Expected: 1; Actual: 3]
core/ai/prompt_n8n.md:8:1 error MD030/list-marker-space Spaces after list markers [Expected: 1; Actual: 3]
core/ai/prompt_n8n.md:12:1 error MD030/list-marker-space Spaces after list markers [Expected: 1; Actual: 3]
core/ai/prompt_n8n.md:13:1 error MD030/list-marker-space Spaces after list markers [Expected: 1; Actual: 3]
core/ai/prompt_n8n.md:14:1 error MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]
core/ai/prompt_n8n.md:14:5 error MD030/list-marker-space Spaces after list markers [Expected: 1; Actual: 3]
core/ai/prompt_n8n.md:15:1 error MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]
core/ai/prompt_n8n.md:15:5 error MD030/list-marker-space Spaces after list markers [Expected: 1; Actual: 3]
core/ai/prompt_n8n.md:16:1 error MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]
core/ai/prompt_n8n.md:16:5 error MD030/list-marker-space Spaces after list markers [Expected: 1; Actual: 3]
core/ai/prompt_n8n.md:17:1 error MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]
core/ai/prompt_n8n.md:17:5 error MD030/list-marker-space Spaces after list markers [Expected: 1; Actual: 3]
core/ai/prompt_n8n.md:18:1 error MD030/list-marker-space Spaces after list markers [Expected: 1; Actual: 3]
core/ai/prompt_n8n.md:19:1 error MD030/list-marker-space Spaces after list markers [Expected: 1; Actual: 3]
core/ai/prompt_n8n.md:20:1 error MD030/list-marker-space Spaces after list markers [Expected: 1; Actual: 3]
core/ai/prompt_n8n.md:28:1 error MD030/list-marker-space Spaces after list markers [Expected: 1; Actual: 3]
core/ai/prompt_n8n.md:29:1 error MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]
core/ai/prompt_n8n.md:29:5 error MD030/list-marker-space Spaces after list markers [Expected: 1; Actual: 3]
core/ai/prompt_n8n.md:30:1 error MD030/list-marker-space Spaces after list markers [Expected: 1; Actual: 3]
core/ai/prompt_n8n.md:31:1 error MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]
core/ai/prompt_n8n.md:31:5 error MD030/list-marker-space Spaces after list markers [Expected: 1; Actual: 3]
core/ai/prompt_n8n.md:32:1 error MD030/list-marker-space Spaces after list markers [Expected: 1; Actual: 3]
core/ai/prompt_n8n.md:33:1 error MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]
core/ai/prompt_n8n.md:33:5 error MD030/list-marker-space Spaces after list markers [Expected: 1; Actual: 3]
core/ai/prompt_n8n.md:34:1 error MD030/list-marker-space Spaces after list markers [Expected: 1; Actual: 3]
core/ai/prompt_n8n.md:35:1 error MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]
core/ai/prompt_n8n.md:35:5 error MD030/list-marker-space Spaces after list markers [Expected: 1; Actual: 3]
core/ai/prompt_n8n.md:36:1 error MD030/list-marker-space Spaces after list markers [Expected: 1; Actual: 3]
core/ai/prompt_n8n.md:37:1 error MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]
core/ai/prompt_n8n.md:37:5 error MD030/list-marker-space Spaces after list markers [Expected: 1; Actual: 3]
core/ai/prompt_n8n.md:41:1 error MD030/list-marker-space Spaces after list markers [Expected: 1; Actual: 2]
core/ai/prompt_n8n.md:42:1 error MD030/list-marker-space Spaces after list markers [Expected: 1; Actual: 2]
core/ai/prompt_n8n.md:43:5 error MD030/list-marker-space Spaces after list markers [Expected: 1; Actual: 3]
core/ai/prompt_n8n.md:44:5 error MD030/list-marker-space Spaces after list markers [Expected: 1; Actual: 3]
core/ai/prompt_n8n.md:45:1 error MD030/list-marker-space Spaces after list markers [Expected: 1; Actual: 2]
core/ai/prompt_n8n.md:46:1 error MD030/list-marker-space Spaces after list markers [Expected: 1; Actual: 2]
core/ai/prompt_n8n.md:52:1 error MD030/list-marker-space Spaces after list markers [Expected: 1; Actual: 2]
