Starting Markdown Check for: core/docs/ka0s_operative_model/Marco_Base_Servicios_Operaciones.md
markdownlint-cli2 v0.20.0 (markdownlint v0.40.0)
Finding: core/docs/ka0s_operative_model/Marco_Base_Servicios_Operaciones.md
Linting: 1 file(s)
Summary: 46 error(s)
core/docs/ka0s_operative_model/Marco_Base_Servicios_Operaciones.md:5 error MD036/no-emphasis-as-heading Emphasis used instead of a heading [Context: "OnPremise | Cloud Pública | Cl..."]
core/docs/ka0s_operative_model/Marco_Base_Servicios_Operaciones.md:58:1 error MD060/table-column-style Table column style [Table pipe is missing space to the right for style "compact"]
core/docs/ka0s_operative_model/Marco_Base_Servicios_Operaciones.md:58:5 error MD060/table-column-style Table column style [Table pipe is missing space to the left for style "compact"]
core/docs/ka0s_operative_model/Marco_Base_Servicios_Operaciones.md:58:5 error MD060/table-column-style Table column style [Table pipe is missing space to the right for style "compact"]
core/docs/ka0s_operative_model/Marco_Base_Servicios_Operaciones.md:58:9 error MD060/table-column-style Table column style [Table pipe is missing space to the left for style "compact"]
core/docs/ka0s_operative_model/Marco_Base_Servicios_Operaciones.md:215 error MD036/no-emphasis-as-heading Emphasis used instead of a heading [Context: "R = Responsable | A = Aprobado..."]
core/docs/ka0s_operative_model/Marco_Base_Servicios_Operaciones.md:218:1 error MD060/table-column-style Table column style [Table pipe is missing space to the right for style "compact"]
core/docs/ka0s_operative_model/Marco_Base_Servicios_Operaciones.md:218:5 error MD060/table-column-style Table column style [Table pipe is missing space to the left for style "compact"]
core/docs/ka0s_operative_model/Marco_Base_Servicios_Operaciones.md:218:5 error MD060/table-column-style Table column style [Table pipe is missing space to the right for style "compact"]
core/docs/ka0s_operative_model/Marco_Base_Servicios_Operaciones.md:218:9 error MD060/table-column-style Table column style [Table pipe is missing space to the left for style "compact"]
core/docs/ka0s_operative_model/Marco_Base_Servicios_Operaciones.md:218:9 error MD060/table-column-style Table column style [Table pipe is missing space to the right for style "compact"]
core/docs/ka0s_operative_model/Marco_Base_Servicios_Operaciones.md:218:13 error MD060/table-column-style Table column style [Table pipe is missing space to the left for style "compact"]
core/docs/ka0s_operative_model/Marco_Base_Servicios_Operaciones.md:219:23 error MD060/table-column-style Table column style [Table pipe has extra space to the right for style "compact"]
core/docs/ka0s_operative_model/Marco_Base_Servicios_Operaciones.md:219:26 error MD060/table-column-style Table column style [Table pipe has extra space to the left for style "compact"]
core/docs/ka0s_operative_model/Marco_Base_Servicios_Operaciones.md:219:26 error MD060/table-column-style Table column style [Table pipe has extra space to the right for style "compact"]
core/docs/ka0s_operative_model/Marco_Base_Servicios_Operaciones.md:219:29 error MD060/table-column-style Table column style [Table pipe has extra space to the left for style "compact"]
core/docs/ka0s_operative_model/Marco_Base_Servicios_Operaciones.md:224:20 error MD060/table-column-style Table column style [Table pipe has extra space to the right for style "compact"]
core/docs/ka0s_operative_model/Marco_Base_Servicios_Operaciones.md:224:23 error MD060/table-column-style Table column style [Table pipe has extra space to the left for style "compact"]
core/docs/ka0s_operative_model/Marco_Base_Servicios_Operaciones.md:224:23 error MD060/table-column-style Table column style [Table pipe has extra space to the right for style "compact"]
core/docs/ka0s_operative_model/Marco_Base_Servicios_Operaciones.md:224:26 error MD060/table-column-style Table column style [Table pipe has extra space to the left for style "compact"]
core/docs/ka0s_operative_model/Marco_Base_Servicios_Operaciones.md:229:26 error MD060/table-column-style Table column style [Table pipe has extra space to the right for style "compact"]
core/docs/ka0s_operative_model/Marco_Base_Servicios_Operaciones.md:229:29 error MD060/table-column-style Table column style [Table pipe has extra space to the left for style "compact"]
core/docs/ka0s_operative_model/Marco_Base_Servicios_Operaciones.md:229:29 error MD060/table-column-style Table column style [Table pipe has extra space to the right for style "compact"]
core/docs/ka0s_operative_model/Marco_Base_Servicios_Operaciones.md:229:32 error MD060/table-column-style Table column style [Table pipe has extra space to the left for style "compact"]
core/docs/ka0s_operative_model/Marco_Base_Servicios_Operaciones.md:234:31 error MD060/table-column-style Table column style [Table pipe has extra space to the right for style "compact"]
core/docs/ka0s_operative_model/Marco_Base_Servicios_Operaciones.md:234:34 error MD060/table-column-style Table column style [Table pipe has extra space to the left for style "compact"]
core/docs/ka0s_operative_model/Marco_Base_Servicios_Operaciones.md:234:34 error MD060/table-column-style Table column style [Table pipe has extra space to the right for style "compact"]
core/docs/ka0s_operative_model/Marco_Base_Servicios_Operaciones.md:234:37 error MD060/table-column-style Table column style [Table pipe has extra space to the left for style "compact"]
core/docs/ka0s_operative_model/Marco_Base_Servicios_Operaciones.md:239:17 error MD060/table-column-style Table column style [Table pipe has extra space to the right for style "compact"]
core/docs/ka0s_operative_model/Marco_Base_Servicios_Operaciones.md:239:20 error MD060/table-column-style Table column style [Table pipe has extra space to the left for style "compact"]
core/docs/ka0s_operative_model/Marco_Base_Servicios_Operaciones.md:239:20 error MD060/table-column-style Table column style [Table pipe has extra space to the right for style "compact"]
core/docs/ka0s_operative_model/Marco_Base_Servicios_Operaciones.md:239:23 error MD060/table-column-style Table column style [Table pipe has extra space to the left for style "compact"]
core/docs/ka0s_operative_model/Marco_Base_Servicios_Operaciones.md:244:22 error MD060/table-column-style Table column style [Table pipe has extra space to the right for style "compact"]
core/docs/ka0s_operative_model/Marco_Base_Servicios_Operaciones.md:244:25 error MD060/table-column-style Table column style [Table pipe has extra space to the left for style "compact"]
core/docs/ka0s_operative_model/Marco_Base_Servicios_Operaciones.md:244:25 error MD060/table-column-style Table column style [Table pipe has extra space to the right for style "compact"]
core/docs/ka0s_operative_model/Marco_Base_Servicios_Operaciones.md:244:28 error MD060/table-column-style Table column style [Table pipe has extra space to the left for style "compact"]
core/docs/ka0s_operative_model/Marco_Base_Servicios_Operaciones.md:248:27 error MD060/table-column-style Table column style [Table pipe has extra space to the right for style "compact"]
core/docs/ka0s_operative_model/Marco_Base_Servicios_Operaciones.md:248:30 error MD060/table-column-style Table column style [Table pipe has extra space to the left for style "compact"]
core/docs/ka0s_operative_model/Marco_Base_Servicios_Operaciones.md:248:30 error MD060/table-column-style Table column style [Table pipe has extra space to the right for style "compact"]
core/docs/ka0s_operative_model/Marco_Base_Servicios_Operaciones.md:248:33 error MD060/table-column-style Table column style [Table pipe has extra space to the left for style "compact"]
core/docs/ka0s_operative_model/Marco_Base_Servicios_Operaciones.md:259:1 error MD060/table-column-style Table column style [Table pipe is missing space to the right for style "compact"]
core/docs/ka0s_operative_model/Marco_Base_Servicios_Operaciones.md:259:5 error MD060/table-column-style Table column style [Table pipe is missing space to the left for style "compact"]
core/docs/ka0s_operative_model/Marco_Base_Servicios_Operaciones.md:259:5 error MD060/table-column-style Table column style [Table pipe is missing space to the right for style "compact"]
core/docs/ka0s_operative_model/Marco_Base_Servicios_Operaciones.md:259:9 error MD060/table-column-style Table column style [Table pipe is missing space to the left for style "compact"]
core/docs/ka0s_operative_model/Marco_Base_Servicios_Operaciones.md:259:9 error MD060/table-column-style Table column style [Table pipe is missing space to the right for style "compact"]
core/docs/ka0s_operative_model/Marco_Base_Servicios_Operaciones.md:259:13 error MD060/table-column-style Table column style [Table pipe is missing space to the left for style "compact"]
❌ Syntax Error detected by MarkdownLint
