"assignees","author","body","closed","closedAt","comments","createdAt","id","labels","milestone","number","projectCards","projectItems","reactionGroups","state","title","updatedAt","url"
"","github-actions[bot]","## 🏢 Organización
Ka0s

## 🙋 Solicitante
@ka0score

## 📌 Estado
New

## 🎯 Impacto
Service

## ⏱️ Urgencia
Medium

## 🧩 Servicio / CI afectado
GitHub Actions / Ka0s Agent Ingest (Unified)

## 📝 Descripción
El workflow **Ka0s Agent Ingest (Unified)** ha fallado durante su ejecución.

## 🔎 Detalles técnicos
- **Módulo:** Agent Ingest
- **Run ID:** `23787138161`
- **Commit:** `bbb966b3dcc9c151837f775a3c5df37287138b57` ([ver commit](https://github.com/Ka0s-Klaus/ka0s/commit/bbb966b3dcc9c151837f775a3c5df37287138b57))
- **Branch/Ref:** `main`
- **Actor:** `ka0score`

## 📎 Evidencias
- Logs de ejecución: [Actions Run 23787138161](https://github.com/Ka0s-Klaus/ka0s/actions/runs/23787138161)

## ✅ Próximos pasos (triage)
- [ ] Identificar el error raíz en los logs
- [ ] Confirmar si impacta despliegues/automatizaciones críticas
- [ ] Aplicar fix o rollback (si aplica)
- [ ] Documentar causa y remediación en el cierre de la incidencia
",false,"",0,"2026-03-31T08:10:25Z",4176985054,"itop-incident;triage;automated","",5223,"","","+1=0;-1=0;confused=0;eyes=0;heart=0;hooray=0;laugh=0;rocket=0;total_count=0;url=https://api.github.com/repos/Ka0s-Klaus/ka0s/issues/5223/reactions","open","[INCIDENT]: Fallo en workflow Ka0s Agent Ingest (Unified)","2026-03-31T20:37:02Z","https://github.com/Ka0s-Klaus/ka0s/issues/5223"
"","github-actions[bot]","### Organización
Ka0s

### Solicitante
@asantacana1970

### Estado
New

### Impacto
Service

### Urgencia
Medium

### Servicio / CI afectado
GitHub Actions / Ka0s Agent Ingest (Unified)

### Descripción
El workflow **Ka0s Agent Ingest (Unified)** ha fallado durante su ejecución.

**Detalles Técnicos:**
- **Módulo**: Agent Ingest
- **Run ID**: 23780736429
- **Commit**: 3f9854121fa04b098ba00df72cda9dd61f91fe89
- **Branch/Ref**: main
- **Actor**: asantacana1970

### Pasos / Evidencias
Logs de ejecución: https://github.com/Ka0s-Klaus/ka0s/actions/runs/23780736429
",false,"",0,"2026-03-31T04:40:24Z",4175715670,"itop-incident;triage;automated","",5222,"","","+1=0;-1=0;confused=0;eyes=0;heart=0;hooray=0;laugh=0;rocket=0;total_count=0;url=https://api.github.com/repos/Ka0s-Klaus/ka0s/issues/5222/reactions","open","[INCIDENT]: Fallo en workflow Ka0s Agent Ingest (Unified)","2026-03-31T04:40:24Z","https://github.com/Ka0s-Klaus/ka0s/issues/5222"
"","github-actions[bot]","### Organización
Ka0s

### Solicitante
@santakloud

### Estado
New

### Impacto
Service

### Urgencia
Medium

### Servicio / CI afectado
GitHub Actions / Daily Lead Time Report

### Descripción
El workflow **Daily Lead Time Report** ha fallado durante su ejecución.

**Detalles Técnicos:**
- **Módulo**: [Ka0S] Daily Lead Time Report
- **Run ID**: 23775448847
- **Commit**: 64fdc191f9932a0f4d08351195c7bb9d6626d2fc
- **Branch/Ref**: main
- **Actor**: santakloud

### Pasos / Evidencias
Logs de ejecución: https://github.com/Ka0s-Klaus/ka0s/actions/runs/23775448847
",false,"",0,"2026-03-31T01:07:18Z",4174977698,"itop-incident;triage;automated","",5221,"","","+1=0;-1=0;confused=0;eyes=0;heart=0;hooray=0;laugh=0;rocket=0;total_count=0;url=https://api.github.com/repos/Ka0s-Klaus/ka0s/issues/5221/reactions","open","[INCIDENT]: Fallo en workflow Daily Lead Time Report","2026-03-31T01:07:18Z","https://github.com/Ka0s-Klaus/ka0s/issues/5221"
"","github-actions[bot]","### Organización
Ka0s

### Solicitante
@ka0score

### Estado
New

### Impacto
Service

### Urgencia
Medium

### Servicio / CI afectado
GitHub Actions / Ka0s Status MongDB Report

### Descripción
El workflow **Ka0s Status MongDB Report** ha fallado durante su ejecución.

**Detalles Técnicos:**
- **Módulo**: [Ka0s] Status MongDB Report
- **Run ID**: 23769530715
- **Commit**: dd5aaf57fb4087884984fa59a5e5258e5bfc0213
- **Branch/Ref**: main
- **Actor**: ka0score

### Pasos / Evidencias
Logs de ejecución: https://github.com/Ka0s-Klaus/ka0s/actions/runs/23769530715
",false,"",0,"2026-03-30T22:03:46Z",4174348267,"itop-incident;triage;automated","",5220,"","","+1=0;-1=0;confused=0;eyes=0;heart=0;hooray=0;laugh=0;rocket=0;total_count=0;url=https://api.github.com/repos/Ka0s-Klaus/ka0s/issues/5220/reactions","open","[INCIDENT]: Fallo en workflow Ka0s Status MongDB Report","2026-03-30T22:03:46Z","https://github.com/Ka0s-Klaus/ka0s/issues/5220"
"","github-actions[bot]","### Organización
Ka0s

### Solicitante
@ka0score

### Estado
New

### Impacto
Service

### Urgencia
Medium

### Servicio / CI afectado
GitHub Actions / Ka0s Status MongDB Report

### Descripción
El workflow **Ka0s Status MongDB Report** ha fallado durante su ejecución.

**Detalles Técnicos:**
- **Módulo**: [Ka0s] Status MongDB Report
- **Run ID**: 23767367581
- **Commit**: bcf4a09211a52235607ec942187cfe887a86a759
- **Branch/Ref**: main
- **Actor**: ka0score

### Pasos / Evidencias
Logs de ejecución: https://github.com/Ka0s-Klaus/ka0s/actions/runs/23767367581
",true,"2026-03-31T11:26:58Z",11,"2026-03-30T21:44:38Z",4174264076,"itop-incident;triage;automated","",5219,"","","+1=0;-1=0;confused=0;eyes=0;heart=0;hooray=0;laugh=0;rocket=0;total_count=0;url=https://api.github.com/repos/Ka0s-Klaus/ka0s/issues/5219/reactions","closed","[INCIDENT]: Fallo en workflow Ka0s Status MongDB Report","2026-03-31T11:26:58Z","https://github.com/Ka0s-Klaus/ka0s/issues/5219"
"","github-actions[bot]","### Organización
Ka0s

### Solicitante
@ka0score

### Estado
New

### Impacto
Service

### Urgencia
Medium

### Servicio / CI afectado
GitHub Actions / Ka0s Agent Query

### Descripción
El workflow **Ka0s Agent Query** ha fallado durante su ejecución.

**Detalles Técnicos:**
- **Módulo**: [Ka0S] Agent Query
- **Run ID**: 23764479652
- **Commit**: bfa465146b9701cee3ea3c5e84864d400b6667ad
- **Branch/Ref**: main
- **Actor**: ka0score

### Pasos / Evidencias
Logs de ejecución: https://github.com/Ka0s-Klaus/ka0s/actions/runs/23764479652
",true,"2026-03-31T11:26:58Z",0,"2026-03-30T19:57:46Z",4173685101,"itop-incident;triage;automated","",5218,"","","+1=0;-1=0;confused=0;eyes=0;heart=0;hooray=0;laugh=0;rocket=0;total_count=0;url=https://api.github.com/repos/Ka0s-Klaus/ka0s/issues/5218/reactions","closed","[INCIDENT]: Fallo en workflow Ka0s Agent Query","2026-03-31T11:26:58Z","https://github.com/Ka0s-Klaus/ka0s/issues/5218"
"","github-actions[bot]","### Organización
Ka0s

### Solicitante
@asantacana1970

### Estado
New

### Impacto
Service

### Urgencia
Medium

### Servicio / CI afectado
GitHub Actions / Ka0s Agent Ingest (Unified)

### Descripción
El workflow **Ka0s Agent Ingest (Unified)** ha fallado durante su ejecución.

**Detalles Técnicos:**
- **Módulo**: Agent Ingest
- **Run ID**: 23677396836
- **Commit**: 9988cf5ba1f396d11682fcedec95b2087750b9b4
- **Branch/Ref**: main
- **Actor**: asantacana1970

### Pasos / Evidencias
Logs de ejecución: https://github.com/Ka0s-Klaus/ka0s/actions/runs/23677396836
",true,"2026-03-31T11:26:57Z",0,"2026-03-28T05:13:07Z",4157717368,"itop-incident;triage;automated","",5217,"","","+1=0;-1=0;confused=0;eyes=0;heart=0;hooray=0;laugh=0;rocket=0;total_count=0;url=https://api.github.com/repos/Ka0s-Klaus/ka0s/issues/5217/reactions","closed","[INCIDENT]: Fallo en workflow Ka0s Agent Ingest (Unified)","2026-03-31T11:26:57Z","https://github.com/Ka0s-Klaus/ka0s/issues/5217"
"","github-actions[bot]","### Organización
Ka0s

### Solicitante
@santakloud

### Estado
New

### Impacto
Service

### Urgencia
Medium

### Servicio / CI afectado
GitHub Actions / Daily Lead Time Report

### Descripción
El workflow **Daily Lead Time Report** ha fallado durante su ejecución.

**Detalles Técnicos:**
- **Módulo**: [Ka0S] Daily Lead Time Report
- **Run ID**: 23673811694
- **Commit**: 8cb226280f0d5c9dd9b2ae33e9e7b1c26576eb0d
- **Branch/Ref**: main
- **Actor**: santakloud

### Pasos / Evidencias
Logs de ejecución: https://github.com/Ka0s-Klaus/ka0s/actions/runs/23673811694
",true,"2026-03-31T11:26:57Z",0,"2026-03-28T00:58:56Z",4156759112,"itop-incident;triage;automated","",5216,"","","+1=0;-1=0;confused=0;eyes=0;heart=0;hooray=0;laugh=0;rocket=0;total_count=0;url=https://api.github.com/repos/Ka0s-Klaus/ka0s/issues/5216/reactions","closed","[INCIDENT]: Fallo en workflow Daily Lead Time Report","2026-03-31T11:26:57Z","https://github.com/Ka0s-Klaus/ka0s/issues/5216"
"","github-actions[bot]","### Organización
Ka0s

### Solicitante
@asantacana1970

### Estado
New

### Impacto
Service

### Urgencia
Medium

### Servicio / CI afectado
GitHub Actions / Ka0s CD Core Services Deploy -> K8s

### Descripción
El workflow **Ka0s CD Core Services Deploy -> K8s** ha fallado durante su ejecución.

**Detalles Técnicos:**
- **Módulo**: [Ka0s] CD Core Services
- **Run ID**: 23666136752
- **Commit**: 17ca2ef7e552ccc915bd87d57476671c0d90fe31
- **Branch/Ref**: main
- **Actor**: asantacana1970

### Pasos / Evidencias
Logs de ejecución: https://github.com/Ka0s-Klaus/ka0s/actions/runs/23666136752
",true,"2026-03-31T11:26:56Z",0,"2026-03-27T20:37:24Z",4155778789,"itop-incident;triage;automated","",5215,"","","+1=0;-1=0;confused=0;eyes=0;heart=0;hooray=0;laugh=0;rocket=0;total_count=0;url=https://api.github.com/repos/Ka0s-Klaus/ka0s/issues/5215/reactions","closed","[INCIDENT]: Fallo en workflow Ka0s CD Core Services Deploy -> K8s","2026-03-31T11:26:56Z","https://github.com/Ka0s-Klaus/ka0s/issues/5215"
"","github-actions[bot]","### Organización
Ka0s

### Solicitante
@asantacana1970

### Estado
New

### Impacto
Service

### Urgencia
Medium

### Servicio / CI afectado
GitHub Actions / Ka0s Agent Query

### Descripción
El workflow **Ka0s Agent Query** ha fallado durante su ejecución.

**Detalles Técnicos:**
- **Módulo**: [Ka0S] Agent Query
- **Run ID**: 23665892551
- **Commit**: 62deb812829c44d70e3b6caa946e98832c523628
- **Branch/Ref**: main
- **Actor**: asantacana1970

### Pasos / Evidencias
Logs de ejecución: https://github.com/Ka0s-Klaus/ka0s/actions/runs/23665892551
",true,"2026-03-31T11:26:56Z",7,"2026-03-27T20:26:11Z",4155724031,"itop-incident;triage;automated","",5214,"","","+1=0;-1=0;confused=0;eyes=0;heart=0;hooray=0;laugh=0;rocket=0;total_count=0;url=https://api.github.com/repos/Ka0s-Klaus/ka0s/issues/5214/reactions","closed","[INCIDENT]: Fallo en workflow Ka0s Agent Query","2026-03-31T11:26:56Z","https://github.com/Ka0s-Klaus/ka0s/issues/5214"
"","github-actions[bot]","### Organización
Ka0s

### Solicitante
@asantacana1970

### Estado
New

### Impacto
Service

### Urgencia
Medium

### Servicio / CI afectado
GitHub Actions / Ka0s Agent Query

### Descripción
El workflow **Ka0s Agent Query** ha fallado durante su ejecución.

**Detalles Técnicos:**
- **Módulo**: [Ka0S] Agent Query
- **Run ID**: 23665707358
- **Commit**: 7285e89f0543a32bd1af4fa7a8dfdf475e41ad8b
- **Branch/Ref**: main
- **Actor**: asantacana1970

### Pasos / Evidencias
Logs de ejecución: https://github.com/Ka0s-Klaus/ka0s/actions/runs/23665707358
",true,"2026-03-31T11:26:55Z",0,"2026-03-27T20:20:39Z",4155698052,"itop-incident;triage;automated","",5213,"","","+1=0;-1=0;confused=0;eyes=0;heart=0;hooray=0;laugh=0;rocket=0;total_count=0;url=https://api.github.com/repos/Ka0s-Klaus/ka0s/issues/5213/reactions","closed","[INCIDENT]: Fallo en workflow Ka0s Agent Query","2026-03-31T11:26:55Z","https://github.com/Ka0s-Klaus/ka0s/issues/5213"
"","github-actions[bot]","### Organización
Ka0s

### Solicitante
@asantacana1970

### Estado
New

### Impacto
Service

### Urgencia
Medium

### Servicio / CI afectado
GitHub Actions / Ka0s Agent Query

### Descripción
El workflow **Ka0s Agent Query** ha fallado durante su ejecución.

**Detalles Técnicos:**
- **Módulo**: [Ka0S] Agent Query
- **Run ID**: 23664909975
- **Commit**: 656c9d82054f6d8ef8e5ad49466b5d6412b63249
- **Branch/Ref**: main
- **Actor**: asantacana1970

### Pasos / Evidencias
Logs de ejecución: https://github.com/Ka0s-Klaus/ka0s/actions/runs/23664909975
",true,"2026-03-31T11:26:55Z",0,"2026-03-27T19:58:53Z",4155573021,"itop-incident;triage;automated","",5212,"","","+1=0;-1=0;confused=0;eyes=0;heart=0;hooray=0;laugh=0;rocket=0;total_count=0;url=https://api.github.com/repos/Ka0s-Klaus/ka0s/issues/5212/reactions","closed","[INCIDENT]: Fallo en workflow Ka0s Agent Query","2026-03-31T11:26:55Z","https://github.com/Ka0s-Klaus/ka0s/issues/5212"
"","github-actions[bot]","### Organización
Ka0s

### Solicitante
@asantacana1970

### Estado
New

### Impacto
Service

### Urgencia
Medium

### Servicio / CI afectado
GitHub Actions / Ka0s Agent Query

### Descripción
El workflow **Ka0s Agent Query** ha fallado durante su ejecución.

**Detalles Técnicos:**
- **Módulo**: [Ka0S] Agent Query
- **Run ID**: 23664765684
- **Commit**: c0b45fd088bda8767983f214ae2365b2128ec149
- **Branch/Ref**: main
- **Actor**: asantacana1970

### Pasos / Evidencias
Logs de ejecución: https://github.com/Ka0s-Klaus/ka0s/actions/runs/23664765684
",true,"2026-03-31T11:26:54Z",0,"2026-03-27T19:55:19Z",4155556482,"itop-incident;triage;automated","",5211,"","","+1=0;-1=0;confused=0;eyes=0;heart=0;hooray=0;laugh=0;rocket=0;total_count=0;url=https://api.github.com/repos/Ka0s-Klaus/ka0s/issues/5211/reactions","closed","[INCIDENT]: Fallo en workflow Ka0s Agent Query","2026-03-31T11:26:54Z","https://github.com/Ka0s-Klaus/ka0s/issues/5211"
"","github-actions[bot]","### Organización
Ka0s

### Solicitante
@asantacana1970

### Estado
New

### Impacto
Service

### Urgencia
Medium

### Servicio / CI afectado
GitHub Actions / Ka0s Agent Query

### Descripción
El workflow **Ka0s Agent Query** ha fallado durante su ejecución.

**Detalles Técnicos:**
- **Módulo**: [Ka0S] Agent Query
- **Run ID**: 23664582702
- **Commit**: 079b867e9916eb1bd1804b30f0d1e153dbee0d60
- **Branch/Ref**: main
- **Actor**: asantacana1970

### Pasos / Evidencias
Logs de ejecución: https://github.com/Ka0s-Klaus/ka0s/actions/runs/23664582702
",true,"2026-03-31T11:26:54Z",0,"2026-03-27T19:50:44Z",4155532519,"itop-incident;triage;automated","",5210,"","","+1=0;-1=0;confused=0;eyes=0;heart=0;hooray=0;laugh=0;rocket=0;total_count=0;url=https://api.github.com/repos/Ka0s-Klaus/ka0s/issues/5210/reactions","closed","[INCIDENT]: Fallo en workflow Ka0s Agent Query","2026-03-31T11:26:54Z","https://github.com/Ka0s-Klaus/ka0s/issues/5210"
"","github-actions[bot]","### Organización
Ka0s

### Solicitante
@asantacana1970

### Estado
New

### Impacto
Service

### Urgencia
Medium

### Servicio / CI afectado
GitHub Actions / Ka0s Agent Query

### Descripción
El workflow **Ka0s Agent Query** ha fallado durante su ejecución.

**Detalles Técnicos:**
- **Módulo**: [Ka0S] Agent Query
- **Run ID**: 23664304302
- **Commit**: 6834b33aabfb52ac1306c3f0eed3e7912c3ea8c6
- **Branch/Ref**: main
- **Actor**: asantacana1970

### Pasos / Evidencias
Logs de ejecución: https://github.com/Ka0s-Klaus/ka0s/actions/runs/23664304302
",true,"2026-03-31T11:26:53Z",0,"2026-03-27T19:44:54Z",4155498180,"itop-incident;triage;automated","",5209,"","","+1=0;-1=0;confused=0;eyes=0;heart=0;hooray=0;laugh=0;rocket=0;total_count=0;url=https://api.github.com/repos/Ka0s-Klaus/ka0s/issues/5209/reactions","closed","[INCIDENT]: Fallo en workflow Ka0s Agent Query","2026-03-31T11:26:53Z","https://github.com/Ka0s-Klaus/ka0s/issues/5209"
"","github-actions[bot]","### Organización
Ka0s

### Solicitante
@asantacana1970

### Estado
New

### Impacto
Service

### Urgencia
Medium

### Servicio / CI afectado
GitHub Actions / Ka0s Agent Query

### Descripción
El workflow **Ka0s Agent Query** ha fallado durante su ejecución.

**Detalles Técnicos:**
- **Módulo**: [Ka0S] Agent Query
- **Run ID**: 23664051758
- **Commit**: 5d6d15477c5f35ac5330490c95d0f469882b5b14
- **Branch/Ref**: main
- **Actor**: asantacana1970

### Pasos / Evidencias
Logs de ejecución: https://github.com/Ka0s-Klaus/ka0s/actions/runs/23664051758
",true,"2026-03-31T11:26:53Z",0,"2026-03-27T19:36:12Z",4155442798,"itop-incident;triage;automated","",5208,"","","+1=0;-1=0;confused=0;eyes=0;heart=0;hooray=0;laugh=0;rocket=0;total_count=0;url=https://api.github.com/repos/Ka0s-Klaus/ka0s/issues/5208/reactions","closed","[INCIDENT]: Fallo en workflow Ka0s Agent Query","2026-03-31T11:26:53Z","https://github.com/Ka0s-Klaus/ka0s/issues/5208"
"","github-actions[bot]","### Organización
Ka0s

### Solicitante
@asantacana1970

### Estado
New

### Impacto
Service

### Urgencia
Medium

### Servicio / CI afectado
GitHub Actions / Ka0s Agent Query

### Descripción
El workflow **Ka0s Agent Query** ha fallado durante su ejecución.

**Detalles Técnicos:**
- **Módulo**: [Ka0S] Agent Query
- **Run ID**: 23660740897
- **Commit**: 95fe9b9f9a8ea0cd896f18b655c72891ee7f9565
- **Branch/Ref**: main
- **Actor**: asantacana1970

### Pasos / Evidencias
Logs de ejecución: https://github.com/Ka0s-Klaus/ka0s/actions/runs/23660740897
",true,"2026-03-31T11:26:52Z",0,"2026-03-27T18:12:17Z",4154921784,"itop-incident;triage;automated","",5207,"","","+1=0;-1=0;confused=0;eyes=0;heart=0;hooray=0;laugh=0;rocket=0;total_count=0;url=https://api.github.com/repos/Ka0s-Klaus/ka0s/issues/5207/reactions","closed","[INCIDENT]: Fallo en workflow Ka0s Agent Query","2026-03-31T11:26:52Z","https://github.com/Ka0s-Klaus/ka0s/issues/5207"
"","github-actions[bot]","### Organización
Ka0s

### Solicitante
@asantacana1970

### Estado
New

### Impacto
Service

### Urgencia
Medium

### Servicio / CI afectado
GitHub Actions / Ka0s CD Core Services Deploy -> K8s

### Descripción
El workflow **Ka0s CD Core Services Deploy -> K8s** ha fallado durante su ejecución.

**Detalles Técnicos:**
- **Módulo**: [Ka0s] CD Core Services
- **Run ID**: 23642271666
- **Commit**: f666d396fc14a43082793a4afbf5bdccc0692896
- **Branch/Ref**: main
- **Actor**: asantacana1970

### Pasos / Evidencias
Logs de ejecución: https://github.com/Ka0s-Klaus/ka0s/actions/runs/23642271666
",true,"2026-03-31T11:26:52Z",3,"2026-03-27T10:39:30Z",4151447889,"itop-incident;triage;automated;ka0s-agent","",5206,"","","+1=0;-1=0;confused=0;eyes=0;heart=0;hooray=0;laugh=0;rocket=0;total_count=0;url=https://api.github.com/repos/Ka0s-Klaus/ka0s/issues/5206/reactions","closed","[INCIDENT]: Fallo en workflow Ka0s CD Core Services Deploy -> K8s","2026-03-31T11:26:52Z","https://github.com/Ka0s-Klaus/ka0s/issues/5206"
