"assignees","author","body","closed","closedAt","comments","createdAt","id","labels","milestone","number","projectCards","projectItems","reactionGroups","state","title","updatedAt","url"
"","github-actions[bot]","Please check the logs 'https://github.com/Ka0s-Klaus/ka0s/actions/runs/21990901240' for more information of error.",true,"2026-02-13T17:06:23Z",0,"2026-02-13T17:05:14Z",3938128366,"bug","",3775,"","","+1=0;-1=0;confused=0;eyes=0;heart=0;hooray=0;laugh=0;rocket=0;total_count=0;url=https://api.github.com/repos/Ka0s-Klaus/ka0s/issues/3775/reactions","closed","[Ka0S] Kaos Error detected in 21990901240","2026-02-13T17:06:23Z","https://github.com/Ka0s-Klaus/ka0s/issues/3775"
"","github-actions[bot]","Check logs: https://github.com/Ka0s-Klaus/ka0s/actions/runs/21992224527",true,"2026-02-13T17:04:25Z",0,"2026-02-13T15:58:16Z",3937855414,"bug","",3774,"","","+1=0;-1=0;confused=0;eyes=0;heart=0;hooray=0;laugh=0;rocket=0;total_count=0;url=https://api.github.com/repos/Ka0s-Klaus/ka0s/issues/3774/reactions","closed","[Ka0S] JSON COMPLIANCE Error in 21992224527","2026-02-13T17:04:25Z","https://github.com/Ka0s-Klaus/ka0s/issues/3774"
"","github-actions[bot]","Check logs: https://github.com/Ka0s-Klaus/ka0s/actions/runs/21991101649",true,"2026-02-13T17:04:24Z",0,"2026-02-13T15:58:14Z",3937855312,"bug","",3773,"","","+1=0;-1=0;confused=0;eyes=0;heart=0;hooray=0;laugh=0;rocket=0;total_count=0;url=https://api.github.com/repos/Ka0s-Klaus/ka0s/issues/3773/reactions","closed","[Ka0S] YAMLLINT Error in 21991101649","2026-02-13T17:04:24Z","https://github.com/Ka0s-Klaus/ka0s/issues/3773"
"","github-actions[bot]","Check logs: https://github.com/Ka0s-Klaus/ka0s/actions/runs/21992062664",true,"2026-02-13T17:04:24Z",0,"2026-02-13T15:58:04Z",3937854811,"bug","",3772,"","","+1=0;-1=0;confused=0;eyes=0;heart=0;hooray=0;laugh=0;rocket=0;total_count=0;url=https://api.github.com/repos/Ka0s-Klaus/ka0s/issues/3772/reactions","closed","[Ka0S] JSON COMPLIANCE Error in 21992062664","2026-02-13T17:04:24Z","https://github.com/Ka0s-Klaus/ka0s/issues/3772"
"","github-actions[bot]","Check logs: https://github.com/Ka0s-Klaus/ka0s/actions/runs/21992007287",true,"2026-02-13T17:04:23Z",0,"2026-02-13T15:58:04Z",3937854792,"bug","",3771,"","","+1=0;-1=0;confused=0;eyes=0;heart=0;hooray=0;laugh=0;rocket=0;total_count=0;url=https://api.github.com/repos/Ka0s-Klaus/ka0s/issues/3771/reactions","closed","[Ka0S] JSON COMPLIANCE Error in 21992007287","2026-02-13T17:04:23Z","https://github.com/Ka0s-Klaus/ka0s/issues/3771"
"","github-actions[bot]","Check logs: https://github.com/Ka0s-Klaus/ka0s/actions/runs/21991889251",true,"2026-02-13T17:04:23Z",0,"2026-02-13T15:57:51Z",3937854032,"bug","",3770,"","","+1=0;-1=0;confused=0;eyes=0;heart=0;hooray=0;laugh=0;rocket=0;total_count=0;url=https://api.github.com/repos/Ka0s-Klaus/ka0s/issues/3770/reactions","closed","[Ka0S] JSON COMPLIANCE Error in 21991889251","2026-02-13T17:04:23Z","https://github.com/Ka0s-Klaus/ka0s/issues/3770"
"","github-actions[bot]","Check logs: https://github.com/Ka0s-Klaus/ka0s/actions/runs/21992083587",true,"2026-02-13T17:04:22Z",0,"2026-02-13T15:57:49Z",3937853901,"bug","",3769,"","","+1=0;-1=0;confused=0;eyes=0;heart=0;hooray=0;laugh=0;rocket=0;total_count=0;url=https://api.github.com/repos/Ka0s-Klaus/ka0s/issues/3769/reactions","closed","[Ka0S] JSON COMPLIANCE Error in 21992083587","2026-02-13T17:04:22Z","https://github.com/Ka0s-Klaus/ka0s/issues/3769"
"","github-actions[bot]","Check logs: https://github.com/Ka0s-Klaus/ka0s/actions/runs/21991897311",true,"2026-02-13T17:04:22Z",0,"2026-02-13T15:57:49Z",3937853900,"bug","",3768,"","","+1=0;-1=0;confused=0;eyes=0;heart=0;hooray=0;laugh=0;rocket=0;total_count=0;url=https://api.github.com/repos/Ka0s-Klaus/ka0s/issues/3768/reactions","closed","[Ka0S] JSON COMPLIANCE Error in 21991897311","2026-02-13T17:04:22Z","https://github.com/Ka0s-Klaus/ka0s/issues/3768"
"","github-actions[bot]","Check logs: https://github.com/Ka0s-Klaus/ka0s/actions/runs/21990995187",true,"2026-02-13T17:04:21Z",0,"2026-02-13T15:57:49Z",3937853881,"bug","",3767,"","","+1=0;-1=0;confused=0;eyes=0;heart=0;hooray=0;laugh=0;rocket=0;total_count=0;url=https://api.github.com/repos/Ka0s-Klaus/ka0s/issues/3767/reactions","closed","[Ka0S] YAMLLINT Error in 21990995187","2026-02-13T17:04:21Z","https://github.com/Ka0s-Klaus/ka0s/issues/3767"
"","github-actions[bot]","Check logs: https://github.com/Ka0s-Klaus/ka0s/actions/runs/21990991244",true,"2026-02-13T17:04:21Z",0,"2026-02-13T15:57:48Z",3937853863,"bug","",3766,"","","+1=0;-1=0;confused=0;eyes=0;heart=0;hooray=0;laugh=0;rocket=0;total_count=0;url=https://api.github.com/repos/Ka0s-Klaus/ka0s/issues/3766/reactions","closed","[Ka0S] YAMLLINT Error in 21990991244","2026-02-13T17:04:21Z","https://github.com/Ka0s-Klaus/ka0s/issues/3766"
"","github-actions[bot]","Check logs: https://github.com/Ka0s-Klaus/ka0s/actions/runs/21992033335",true,"2026-02-13T17:04:20Z",0,"2026-02-13T15:56:51Z",3937850043,"bug","",3765,"","","+1=0;-1=0;confused=0;eyes=0;heart=0;hooray=0;laugh=0;rocket=0;total_count=0;url=https://api.github.com/repos/Ka0s-Klaus/ka0s/issues/3765/reactions","closed","[Ka0S] JSON COMPLIANCE Error in 21992033335","2026-02-13T17:04:20Z","https://github.com/Ka0s-Klaus/ka0s/issues/3765"
